sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
,,G11-214n Town Entry Welcome Sign (Example Only),,,,,,,,,,,g11-214n-town-entry-welcome-sign-example-only
GE4-1,Motorway Reassurance Direction Sign (Example Only),GE4-1 - Reassurance Direction Sign (Example Only),Yes Delegated to council for authorisation No This sign is a 'prescribed traffic control device' it is NOT delegated/authorised to council to install. This sign can only be authorised by direct Transport for NSW written approval.,,NA,AS1742.15 (Direction Signs),,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge4-1.gif?itok=xzjVvqQf,,,ge4-1-reassurance-direction-sign-example-only
GE9-200n,Emergency Stopping Bay Only (left/right) (Superseded Use R5-85-1n C Size),GE9-200n Emergency Stopping Bay Only (left/right) (Superseded Use R5-85-1n C Size),No,Unavailable,NA,Project Specific,,-,,,,,ge9-200n-emergency-stopping-bay-only-leftright
GE7-206n,Emergency Phone (Superseded Use G7-13 Help Phone),GE7-206n - Emergency Phone (Superseded Use G7-13 Help Phone),No,Unavailable,-,-,,SUPERSEDED USE G7-13 HELP PHONE,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge7-206.gif?itok=jjCqjgL1,,,ge7-206n-emergency-phone-superseded-use-g7-13-help
GE9-20,No Stopping or Turning (Superceded - Use G9-70),GE9-20 No Stopping or Turning (Superceded - Use G9-70),No,Unavailable,NA,-,,-,No design plan.,,,,ge9-20-no-stopping-or-turning-superceded-use-g9-70
w3-3 (Superseded Use W3-3-1),Signals Ahead (Symbolic),W3-3 Signals Ahead (Superseded Use W3-3-1),-,Unavailable,NA,-,- Secondary Technical References - Sign Design Size A B C D Height - - - - Width - - - -,-,,,,,w3-3-signals-ahead-superseded-use-w3-3-1
GE7-6,Emergency Phone (Superseded Use G7-13 Help Phone),GE7-6 - Emergency Phone (Superseded Use G7-13 Help Phone),No,Unavailable,-,-,,SUPERSEDED USE G7-13 HELP PHONE,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge7-6.gif?itok=gKPq80q4,,,ge7-6-emergency-phone-superseded-use-g7-13-help-phone
W5-227n,Deer (symbolic) Superseded Use W5-51,W5-227n - Deer (symbolic) Superseded Use W5-51,-,Unavailable,-,-,,-,,,,,w5-227n-deer-symbolic-superseded-use-w5-51
W5-223n,Wildlife Ahead (Superseded Use W5-56n),W5-223n - Wildlife Ahead Superseded Use W5-56n,-,Unavailable,-,-,,-,,,,,w5-223n-wildlife-ahead-superseded-use-w5-56n
W5-230n(R),Hazardous Motorcycle Curve (Right) Superseded Use W5-54,W5-230n(R) Hazardous Motorcycle Curve (Right) Superseded Use W5-54,-,Unavailable,-,-,,-,,,,,w5-230nr-hazardous-motorcycle-curve-right-superseded
W5-230n(L),Hazardous Motorcycle Curve (Left Symbolic) Superseded Use W5-54,W5-230n(L) Hazardous Motorcycle Curve (Left) Superseded Use W5-54,-,Unavailable,-,-,,-,,,,,w5-230nl-hazardous-motorcycle-curve-left-superseded
W5-243n,Horse and Rider (Symbolic) Superseded Use W5-53,W5-243n - Horse and Rider (Symbolic) Superseded Use W5-53,-,Unavailable,-,-,,-,,,,,w5-243n-horse-and-rider-symbolic-superseded-use-w5-53
W5-24,Merging Traffic (Superseded Use W5-34 LorR),W5-24 - Merging Traffic (Superseded Use W5-34 L or R),-,Unavailable,-,-,,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/w5-24.gif?itok=HpiegqyM,,,w5-24-merging-traffic-superseded-use-w5-34-l-or-r
W7-1,Railway Crossing (Superseded - Use R6-24),W7-1 - Railway Crossing (Superseded - Use R6-24),No,Unavailable,NA,-,,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/w7-1.gif?itok=l0kbJZwR,,,w7-1-railway-crossing-superseded-use-r6-24
R1-4n,Traffic Signal Stop,R1-4n Traffic Signal Stop,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules - Rule 63,Roads and Maritime Services Traffic Signal Design - Section 10,AUSTROADS - Guide to Traffic Management Part 10 - Traffic Control and Communication Devices,-,Traffic Signal Stop sign design plan Published 15 Jun 2023 PDF 99.54 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r1-4n.gif?itok=-GZtF-9U,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r1-4n.pdf,Original PDFs/r1-4n.pdf,r1-4n-traffic-signal-stop
R2-20,Left Turn On Red Permitted After Stopping,R2-20 Left Turn On Red Permitted After Stopping,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULES - RULE 59,AS 1742.14 (Traffic Signals),Traffic Signal Design (Roads and Maritime Services ) - Section 10 AUSTROADS - Guide to Traffic Management Part 10 - Traffic Control and Communication Devices,-,Left Turn On Red Permitted After Stopping sign design plan Published 15 Jun 2023 PDF 115.92 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-20.gif?itok=n7UZQ_p_,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r2-20.pdf,Original PDFs/r2-20.pdf,r2-20-left-turn-on-red-permitted-after-stopping
R3-5(R),Pedestrians May Cross Diagonally (Right),R3-5(R) Pedestrians May Cross Diagonally (Right),Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULES - RULES 230 & 234,AS 1742.14 (TRAFFIC SIGNALS),"Traffic Signal Design (Roads & Maritime Services)- Section 10 Secondary Technical References Roads and Maritime Services Supplement Australian Standard - 1742, Manual of Uniform Traffic Control Devices (Part 10) AUSTROADS - Guide to Traffic Management - Traffic Control and Communication Devices (Part 10)",-,Pedestrians May Cross Diagonally (Right) sign design plan Published 15 Jun 2023 PDF 104.48 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-5_r.gif?itok=x6ZCQf7G,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r3-5_r.pdf,Original PDFs/r3-5_r.pdf,r3-5r-pedestrians-may-cross-diagonally-right
R3-5(L),Pedestrians May Cross Diagonally (Left),R3-5(L) Pedestrians May Cross Diagonally (Left),Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULES - RULES 230 & 234,AS 1742.14 (TRAFFIC SIGNALS),"Traffic Signal Design (Roads & Maritime Services)- Section 10 Secondary Technical References Roads and Maritime Services Supplement Australian Standard - 1742, Manual of Uniform Traffic Control Devices (Part 10) AUSTROADS - Guide to Traffic Management - Traffic Control and Communication Devices (Part 10)",-,Pedestrians May Cross Diagonally (Left) sign design plan Published 15 Jun 2023 PDF 107.26 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-5_l.gif?itok=pSgRTnnl,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r3-5_l.pdf,Original PDFs/r3-5_l.pdf,r3-5l-pedestrians-may-cross-diagonally-left
R4-1-1n,Town Entry Gateway Treatment (Example Only),R4-1-1n - Town Entry Gateway Treatment (Example Only),No,No – restricted. Any use requires written authorisation from Transport for NSW.,NA,Town Entry Gateway Treatment TS 00020:1.0,,Refer to TfnSW technical document TOWN ENTRY GATEWAY TREATMENT TS 00020:1.0 for details,Town Entry Gateway Treatment (Example Only) sign design plan Published 15 Jun 2023 PDF 25.18 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-1-1n.gif?itok=-18NirvA,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-1-1n.pdf,Original PDFs/r4-1-1n.pdf,r4-1-1n-town-entry-gateway-treatment-example-only
R4-11-1n,End Speed Limit (Symbolic) 30 Area,R4-11-1n End Speed Limit (Symbolic) 30 Area,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NA,AS1742.4 (Speed Controls),,30km/hr speed limits to be used in high volume pedestrian areas only.,End Speed Limit (Symbolic) 30 Area sign design plan Published 15 Jun 2023 PDF 101.15 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-11-1n.gif?itok=OyZ7SC78,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-11-1n.pdf,Original PDFs/r4-11-1n.pdf,r4-11-1n-end-speed-limit-symbolic-30-area
R4-11,End Speed Limit (symbolic) 40 Area,R4-11 End Speed Limit (symbolic) 40 Area,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,-,AS1742.4 (SPPED CONTROLS),,40 km/h speed limits in high volume pedestrian areas. RMS internal working document. To be used only in high pedestrian areas.,End Speed Limit (symbolic) 40 Area sign design plan Published 15 Jun 2023 PDF 100.89 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-11.gif?itok=O6BVKOBI,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-11.pdf,Original PDFs/r4-11.pdf,r4-11-end-speed-limit-symbolic-40-area
R4-230-1-1n,School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) 30,R4-230-1-1n - School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) 30,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 23,AS1742.4 (Speed Control,"NSW SPEED ZONING GUIDELINES Secondary Technical References Delineation (Roads and Maritime Services ), Section 9 TD 2009/SR02 - Dragon's teeth at School Zones","For non-standard school times use R4-235-1-1n. Approval from NSW Centre for Road Safety is required LIGHTS: Flash light aperture: Yellow when light is on, dark when light off. Sun visor may be provided. Annulus is to emit a red flashing light on the inner half of the annulus",School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) 30 sign design plan Published 15 Jun 2023 PDF 204.42 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-230-1-1n.gif?itok=y1n5WOtL,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-230-1-1n.pdf,Original PDFs/r4-230-1-1n.pdf,r4-230-1-1n-school-zone-8-930am-230-4pm-school-days
