code,name,family,file,size,notes,source
R1-4n,Traffic Signal Stop,Regulatory Signs,TRAFFIC_SIGNAL_STOP_R1-4n.svg,450x451 mm,size from the sheet's 450 x 450 figure; triangulated CAD export unioned; NSW-only code,Original PDFs/r1-4n.pdf
R2-20,Left Turn On Red Permitted After Stopping,Regulatory Signs,LEFT_TURN_ON_RED_PERMITTED_AFTER_STOPPING_R2-20.svg,450x802 mm,size from the sheet's 450 x 800 figure; code also in the national AS 1743 set,Original PDFs/r2-20.pdf
R3-5(R),Pedestrians May Cross Diagonally (Right),Regulatory Signs,PEDESTRIANS_MAY_CROSS_DIAGONALLY_RIGHT_R3-5(R).svg,300x401 mm,size from the sheet's 300 x 400 figure; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/r3-5_r.pdf
R3-5(L),Pedestrians May Cross Diagonally (Left),Regulatory Signs,PEDESTRIANS_MAY_CROSS_DIAGONALLY_LEFT_R3-5(L).svg,300x403 mm,size from the sheet's 300 x 400 figure; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/r3-5_l.pdf
R4-1-1n,Town Entry Gateway Treatment (Example Only),Regulatory Signs,TOWN_ENTRY_GATEWAY_TREATMENT_EXAMPLE_ONLY_R4-1-1n.svg,1200x1602 mm,size from the sheet's 1600 x 1200 figure; NSW-only code,Original PDFs/r4-1-1n.pdf
R4-11-1n,End Speed Limit (Symbolic) 30 Area,Regulatory Signs,END_SPEED_LIMIT_SYMBOLIC_30_AREA_R4-11-1n.svg,600x1140 mm,size from the sheet's 600 x 1000 figure; drawn proportions differ from the stated size (600 x 1140.44 mm drawn) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/r4-11-1n.pdf
R4-11,End Speed Limit (symbolic) 40 Area,Regulatory Signs,END_SPEED_LIMIT_SYMBOLIC_40_AREA_R4-11.svg,600x1140 mm,size from the sheet's 600 x 1000 figure; drawn proportions differ from the stated size (600 x 1140.44 mm drawn) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/r4-11.pdf
R4-230-1-1n,School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) 30,Regulatory Signs,,,no drawing found on the sheet,Original PDFs/r4-230-1-1n.pdf
R4-229n,Speed Limit (variable) Truck & Bus Speed Limit,Regulatory Signs,SPEED_LIMIT_VARIABLE_TRUCK_BUS_SPEED_LIMIT_R4-229n.svg,1350x2794 mm,size from the sheet's 1350 x 3020 figure; drawn proportions differ from the stated size (1350 x 2793.96 mm drawn) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/r4-229n.pdf
R4-229n,Speed Limit (variable) Truck & Bus Speed Limit,Regulatory Signs,SPEED_LIMIT_VARIABLE_TRUCK_BUS_SPEED_LIMIT_VAR2_R4-229n.svg,1350x1420 mm,size from the sheet's 1350 x 3020 figure; drawn proportions differ from the stated size (1350 x 1419.92 mm drawn) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/r4-229n.pdf
R4-229n,Speed Limit (variable) Truck & Bus Speed Limit,Regulatory Signs,SPEED_LIMIT_VARIABLE_TRUCK_BUS_SPEED_LIMIT_VAR3_R4-229n.svg,1350x2110 mm,size from the sheet's 1350 x 3020 figure; drawn proportions differ from the stated size (1350 x 2109.57 mm drawn) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/r4-229n.pdf
R4-229n,Speed Limit (variable) Truck & Bus Speed Limit,Regulatory Signs,SPEED_LIMIT_VARIABLE_TRUCK_BUS_SPEED_LIMIT_VAR4_R4-229n.svg,3020x3002 mm,size from the sheet's 1350 x 3020 figure; drawn proportions differ from the stated size (3020 x 3002.08 mm drawn) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/r4-229n.pdf
R4-220n,End Truck & Bus Speed Limit,Regulatory Signs,END_TRUCK_BUS_SPEED_LIMIT_R4-220n.svg,1350x2504 mm,size from the sheet's 1350 x 3620 figure; drawn proportions differ from the stated size (1350 x 2504.27 mm drawn) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/r4-220n.pdf
R4-220n,End Truck & Bus Speed Limit,Regulatory Signs,END_TRUCK_BUS_SPEED_LIMIT_VAR2_R4-220n.svg,1350x2326 mm,size from the sheet's 1350 x 3620 figure; drawn proportions differ from the stated size (1350 x 2326.19 mm drawn) — check; triangulated CAD export unioned; NSW-only code,Original PDFs/r4-220n.pdf
R4-12,End Speed Limit (symbolic),Regulatory Signs,,,no drawing found on the sheet,Original PDFs/r4-12.pdf
R4-205n,State Limit 100,Regulatory Signs,STATE_LIMIT_100_R4-205n.svg,900x901 mm,size from the sheet's 900 x 1650 figure; drawn proportions differ from the stated size (900 x 901.07 mm drawn) — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; NSW-only code,Original PDFs/r4-205n.pdf
R4-230-1n,School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights),Regulatory Signs,,,no drawing found on the sheet,Original PDFs/r4-230-1n.pdf
