code,name,family,file,size,notes,source
SA1023,"State Government and Federal Government funded Project Sign Guidelines - Black Spot
",Other,STATE_GOVERNMENT_AND_FEDERAL_GOVERNMENT_FUNDED_PROJECT_SIGN_GUIDELINES_BLACK_SPO_SA1023.svg,1589x78 mm,no size found on the sheet; drawn at 1:10 — check; sheet is stamped SUPERSEDED; background assumed to be a white rectangle (outline drawn as loose strokes) — check,Original PDFs/1023.pdf
332-A3-11-2423,Red Stop Disc Signal (Operational Tram Sign),Other,,,no drawing found on the sheet,Original PDFs/1281.pdf
13908(2),Railway Crossing Position With Target Board 2 Tracks Stop Look For Trains,R6 Miscellaneous Series,RAILWAY_CROSSING_POSITION_WITH_TARGET_BOARD_2_TRACKS_STOP_LOOK_FOR_TRAINS_13908(2).svg,750x1800 mm,size from the register (750x1800 mm),Original PDFs/1484.pdf
CS2-DRG-352357,Compulsary Stop (Operational Tram Sign),Other,COMPULSARY_STOP_OPERATIONAL_TRAM_SIGN_CS2-DRG-352357.svg,450x302 mm,size from the register (450x300 mm),Original PDFs/1267.pdf
CS2-DRG-352357,Compulsary Stop (Operational Tram Sign),Other,COMPULSARY_STOP_OPERATIONAL_TRAM_SIGN_VAR2_CS2-DRG-352357.svg,1213x368 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check,Original PDFs/1267.pdf
CS2-DRG-352358,Stopping Place (Operational Tram Sign),Other,STOPPING_PLACE_OPERATIONAL_TRAM_SIGN_CS2-DRG-352358.svg,450x280 mm,size from the register (450x300 mm),Original PDFs/1268.pdf
CS2-DRG-352358,Stopping Place (Operational Tram Sign),Other,STOPPING_PLACE_OPERATIONAL_TRAM_SIGN_VAR2_CS2-DRG-352358.svg,1214x368 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check,Original PDFs/1268.pdf
CS2-DRG-352359,Start Single Line Working (Operational Tram Sign),Other,START_SINGLE_LINE_WORKING_OPERATIONAL_TRAM_SIGN_CS2-DRG-352359.svg,550x180 mm,size from the register (550x450 mm); drawn proportions differ from the register size — check,Original PDFs/1269.pdf
CS2-DRG-352360,End Single Line Working (Operational Tram Sign),Other,END_SINGLE_LINE_WORKING_OPERATIONAL_TRAM_SIGN_CS2-DRG-352360.svg,550x180 mm,size from the register (550x450 mm); drawn proportions differ from the register size — check,Original PDFs/1270.pdf
CS2-DRG-352361,Induction Loop (Operational Tram Sign),Other,INDUCTION_LOOP_OPERATIONAL_TRAM_SIGN_CS2-DRG-352361.svg,300x447 mm,size from the register (300x450 mm),Original PDFs/1271.pdf
