category,series,node,title,code,size,summary,type,updated,files,local
Australian Standard Signs,Australian Standard - Regulatory Signs,20383,202131-0079 – Supplementary end speed limit area midblock,,600x200,"Size: 600 x 200, Refer to Drawing R4-13",PDF,9 November 2021,https://www.mainroads.wa.gov.au/49e755/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/202131-0079.pdf | https://www.mainroads.wa.gov.au/49e765/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/r4-13.dwg | https://www.mainroads.wa.gov.au/4ab761/globalassets/images/sign-thumbnails/regulatory/australian-standard/r4-13.png,Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/202131-0079.pdf | Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/r4-13.dwg
Australian Standard Signs,Australian Standard - Regulatory Signs,20383,R4-13 – Supplementary end speed limit area midblock,,600x200,"Size: 600 x 200, Refer to Drawing 202131-0079",Other,9 November 2021,https://www.mainroads.wa.gov.au/49e765/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/r4-13.dwg | https://www.mainroads.wa.gov.au/49e755/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/202131-0079.pdf | https://www.mainroads.wa.gov.au/4ab761/globalassets/images/sign-thumbnails/regulatory/australian-standard/r4-13.png,Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/r4-13.dwg | Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/202131-0079.pdf
Australian Standard Signs,Australian Standard - Warning Signs,14022,201431-0008 - Pedestrian Signal Ahead,,600x600,"Size: 600 x 600, refer to W3-3",PDF,13 October 2020,https://www.mainroads.wa.gov.au/49e778/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/201431-0008-pedestrian-signal-ahead.pdf | https://www.mainroads.wa.gov.au/49e775/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w3-3-pedestrian-signal-ahead.dwg | https://www.mainroads.wa.gov.au/4a9c49/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w3-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/201431-0008-pedestrian-signal-ahead.pdf | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w3-3-pedestrian-signal-ahead.dwg
Australian Standard Signs,Australian Standard - Warning Signs,14022,202031-0003 - On Side Road Supplementary Plate,,750x500,"Size: 750 x 500, Refer to W8-3",PDF,13 October 2020,https://www.mainroads.wa.gov.au/49e764/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/202031-0003-on-side-road-supplementary-plate.pdf | https://www.mainroads.wa.gov.au/49e788/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w8-3-on-side-road-supplementary-plate.dwg | https://www.mainroads.wa.gov.au/4a9c42/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w8-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/202031-0003-on-side-road-supplementary-plate.pdf | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w8-3-on-side-road-supplementary-plate.dwg
Australian Standard Signs,Australian Standard - Warning Signs,14022,W3-3 - Pedestrian Signal Ahead,,600x600,"Size: 600 x 600, refer to 201431-0008",Other,13 October 2020,https://www.mainroads.wa.gov.au/49e775/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w3-3-pedestrian-signal-ahead.dwg | https://www.mainroads.wa.gov.au/49e778/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/201431-0008-pedestrian-signal-ahead.pdf | https://www.mainroads.wa.gov.au/4a9c49/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w3-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w3-3-pedestrian-signal-ahead.dwg | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/201431-0008-pedestrian-signal-ahead.pdf
Australian Standard Signs,Australian Standard - Warning Signs,14022,W8-3 - On Side Road Supplementary Plate,,750x500,"Size: 750 x 500, Refer to 202031-0003",Other,13 October 2020,https://www.mainroads.wa.gov.au/49e788/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w8-3-on-side-road-supplementary-plate.dwg | https://www.mainroads.wa.gov.au/49e764/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/202031-0003-on-side-road-supplementary-plate.pdf | https://www.mainroads.wa.gov.au/4a9c42/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w8-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w8-3-on-side-road-supplementary-plate.dwg | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/202031-0003-on-side-road-supplementary-plate.pdf
Category 2 Signs,Category 2 - Guide Signs,10854,Category 2 - Guide Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,31 July 2025,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-guide-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10854,
Category 2 Signs,Category 2 - Hazard Markers,10856,Category 2 - Hazard Markers,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-hazard-markers/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10856,
Category 2 Signs,Category 2 - Multi Message Signs,10861,Category 2 - Multi Message Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-multi-message-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10861,
Category 2 Signs,Category 2 - Regulatory Signs,10852,Category 2 - Regulatory Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-regulatory-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10852,
Category 2 Signs,Category 2 - Service Signs,10857,Category 2 - Service Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,26 March 2024,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-service-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10857,
