code,name,family,file,size,notes,source
R4-13,202131-0079 – Supplementary end speed limit area midblock,Australian Standard Signs,202131_0079_SUPPLEMENTARY_END_SPEED_LIMIT_AREA_MIDBLOCK_R4-13.svg,600x200 mm,"drawn true size (drawing extents equal the register size); 2 closed letter outline(s) filled solid; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/r4-13.dwg
W3-3-PEDESTRIAN-SIGNAL-AHEAD,201431-0008 - Pedestrian Signal Ahead,Australian Standard Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w3-3-pedestrian-signal-ahead.dwg
W8-3-ON-SIDE-ROAD-SUPPLEMENTARY-PLATE,202031-0003 - On Side Road Supplementary Plate,Australian Standard Signs,,,conversion failed: Expected DXF entity INSERT or SEQEND,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w8-3-on-side-road-supplementary-plate.dwg
MR-EGT-1,MR-EGT-1 – General Speed Limit,Electronic Signs,MR_EGT_1_GENERAL_SPEED_LIMIT_MR-EGT-1.svg,600x1100 mm,"size from the register (600x1100 mm); no scale on the sheet; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Electronic Signs/Electronic Guide Signs/mr-egt-1-general-speed-limit-dwg.dwg
MR-RC1-3-FREEWAY-CLOSED-DWG,MR-RC1-3 - Freeway Closed,Electronic Signs,MR_RC1_3_FREEWAY_CLOSED_MR-RC1-3-FREEWAY-CLOSED-DWG.svg,900x609 mm,"size from the register (900x600 mm); no scale on the sheet; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-3-freeway-closed-dwg.dwg
MR-RC1-6-NO-ENTRY-DWG,MR-RC1-6 - No Entry,Electronic Signs,MR_RC1_6_NO_ENTRY_MR-RC1-6-NO-ENTRY-DWG.svg,900x609 mm,"size from the register (900x600 mm); no scale on the sheet; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-6-no-entry-dwg.dwg
MR-RC1-5-NO-LEFT-TURN-DWG,MR-RC1-5 - No Left Turn,Electronic Signs,MR_RC1_5_NO_LEFT_TURN_MR-RC1-5-NO-LEFT-TURN-DWG.svg,900x609 mm,"size from the register (900x600 mm); no scale on the sheet; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-5-no-left-turn-dwg.dwg
MR-RC1-4-NO-RIGHT-TURN-DWG,MR-RC1-4 - No Right Turn,Electronic Signs,MR_RC1_4_NO_RIGHT_TURN_MR-RC1-4-NO-RIGHT-TURN-DWG.svg,900x609 mm,"size from the register (900x600 mm); no scale on the sheet; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-4-no-right-turn-dwg.dwg
MR-RC1-1-RAMP-SIGNALS-ON-DWG,MR-RC1-1 - Ramp Signals On,Electronic Signs,MR_RC1_1_RAMP_SIGNALS_ON_MR-RC1-1-RAMP-SIGNALS-ON-DWG.svg,900x609 mm,"size from the register (900x600 mm); no scale on the sheet; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-1-ramp-signals-on-dwg.dwg
MR-EWDAX-1,MR-EWDAX-1 – Slow Down,Electronic Signs,MR_EWDAX_1_SLOW_DOWN_MR-EWDAX-1.svg,919x525 mm,"size from the register (919x525 mm); no scale on the sheet; no colour note on the sheet: black legend on white assumed — check colours: legend BLACK, background WHITE",Original PDFs/Electronic Signs/Electronic Warning Signs/mr-ewdax-1-slow-down-dwg.dwg
