code,file,drawn_size_mm,legend,check,intervene,notes
R4-10,Speed Signs/Area/10_AREA_SPEED_SIGN_R4-10.svg,450x750,10 AREA,ok,," Annulus R223/R178 centre (225,287): the 287 is from the top edge to the ring centre (measured on the drawing: centre 288, ring bottom 511, 60 to AREA). Numerals 180 D centred on the ring (top 197, Varies). AREA 120 D, 60 above bottom edge (top 570). Earlier spec had the centre at 377 (AREA overlapped the ring) - corrected 2026-09-08."
R4-10,Speed Signs/Area/20_AREA_SPEED_SIGN_R4-10.svg,450x750,20 AREA,ok,," Annulus R223/R178 centre (225,287): the 287 is from the top edge to the ring centre (measured on the drawing: centre 288, ring bottom 511, 60 to AREA). Numerals 180 D centred on the ring (top 197, Varies). AREA 120 D, 60 above bottom edge (top 570). Earlier spec had the centre at 377 (AREA overlapped the ring) - corrected 2026-09-08."
R4-10,Speed Signs/Area/30_AREA_SPEED_SIGN_R4-10.svg,450x750,30 AREA,ok,," Annulus R223/R178 centre (225,287): the 287 is from the top edge to the ring centre (measured on the drawing: centre 288, ring bottom 511, 60 to AREA). Numerals 180 D centred on the ring (top 197, Varies). AREA 120 D, 60 above bottom edge (top 570). Earlier spec had the centre at 377 (AREA overlapped the ring) - corrected 2026-09-08."
R4-10,Speed Signs/Area/40_AREA_SPEED_SIGN_R4-10.svg,450x750,40 AREA,ok,," Annulus R223/R178 centre (225,287): the 287 is from the top edge to the ring centre (measured on the drawing: centre 288, ring bottom 511, 60 to AREA). Numerals 180 D centred on the ring (top 197, Varies). AREA 120 D, 60 above bottom edge (top 570). Earlier spec had the centre at 377 (AREA overlapped the ring) - corrected 2026-09-08."
R4-10,Speed Signs/Area/50_AREA_SPEED_SIGN_R4-10.svg,450x750,50 AREA,ok,," Annulus R223/R178 centre (225,287): the 287 is from the top edge to the ring centre (measured on the drawing: centre 288, ring bottom 511, 60 to AREA). Numerals 180 D centred on the ring (top 197, Varies). AREA 120 D, 60 above bottom edge (top 570). Earlier spec had the centre at 377 (AREA overlapped the ring) - corrected 2026-09-08."
R4-10,Speed Signs/Area/60_AREA_SPEED_SIGN_R4-10.svg,450x750,60 AREA,ok,," Annulus R223/R178 centre (225,287): the 287 is from the top edge to the ring centre (measured on the drawing: centre 288, ring bottom 511, 60 to AREA). Numerals 180 D centred on the ring (top 197, Varies). AREA 120 D, 60 above bottom edge (top 570). Earlier spec had the centre at 377 (AREA overlapped the ring) - corrected 2026-09-08."
R4-13,Speed Signs/End/END_10_AREA_PLATE_SPEED_SIGN_R4-13.svg,600x200,END 10 AREA,ok,," Illustrated R4-13B 600 x 200, no border. END/AREA 55 D (right-hand column: 75 above, baseline 130, 70 below), 25|131|26|180|26|187|25 - the generator's width check confirms 55 D (80 D would give 191/272). Numerals 80 D centred (left column 60|80D|60, top 60). Annulus outer dia 180 centred (272,100): across 25|131 END|26|180 ring|26|187 AREA|25, so the ring centre is at 25+131+26+90 = 272, not the panel centre; numerals centred on the ring (cx 272). Corrected 2026-09-08 (was 300); band 15 (grid shows inner dia 150)."
R4-13,Speed Signs/End/END_20_AREA_PLATE_SPEED_SIGN_R4-13.svg,600x200,END 20 AREA,ok,," Illustrated R4-13B 600 x 200, no border. END/AREA 55 D (right-hand column: 75 above, baseline 130, 70 below), 25|131|26|180|26|187|25 - the generator's width check confirms 55 D (80 D would give 191/272). Numerals 80 D centred (left column 60|80D|60, top 60). Annulus outer dia 180 centred (272,100): across 25|131 END|26|180 ring|26|187 AREA|25, so the ring centre is at 25+131+26+90 = 272, not the panel centre; numerals centred on the ring (cx 272). Corrected 2026-09-08 (was 300); band 15 (grid shows inner dia 150)."
R4-13,Speed Signs/End/END_30_AREA_PLATE_SPEED_SIGN_R4-13.svg,600x200,END 30 AREA,ok,," Illustrated R4-13B 600 x 200, no border. END/AREA 55 D (right-hand column: 75 above, baseline 130, 70 below), 25|131|26|180|26|187|25 - the generator's width check confirms 55 D (80 D would give 191/272). Numerals 80 D centred (left column 60|80D|60, top 60). Annulus outer dia 180 centred (272,100): across 25|131 END|26|180 ring|26|187 AREA|25, so the ring centre is at 25+131+26+90 = 272, not the panel centre; numerals centred on the ring (cx 272). Corrected 2026-09-08 (was 300); band 15 (grid shows inner dia 150)."
R4-13,Speed Signs/End/END_40_AREA_PLATE_SPEED_SIGN_R4-13.svg,600x200,END 40 AREA,ok,," Illustrated R4-13B 600 x 200, no border. END/AREA 55 D (right-hand column: 75 above, baseline 130, 70 below), 25|131|26|180|26|187|25 - the generator's width check confirms 55 D (80 D would give 191/272). Numerals 80 D centred (left column 60|80D|60, top 60). Annulus outer dia 180 centred (272,100): across 25|131 END|26|180 ring|26|187 AREA|25, so the ring centre is at 25+131+26+90 = 272, not the panel centre; numerals centred on the ring (cx 272). Corrected 2026-09-08 (was 300); band 15 (grid shows inner dia 150)."
