category,id,rule,code,motsam,title,updated,heading,dimensions,colours,files,local
Regulatory,798,R2-6.1,RP6V,none,"""Stop On Red Signal"" variable",26 January 2017,,a : 1200 b : 1000 c : 30 d : 100 Text : 200D,Legend : yellow (lit) or white (lit) Background : black (unlit) Border : red,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RP6V-Stop-on-red-signal-variable.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RP6V-Stop-on-red-signal-variable-nolabels.gif,Original EPS/Regulatory/RP6V-Stop-on-red-signal-variable.eps | Original EPS/Regulatory/RP6V-Stop-on-red-signal-variable-nolabels.gif
Regulatory,808,"R4-4, 5 or 6",RL3V,none,"Arrow variable S, L or R and X",12 January 2017,,a : 265 b : 40 c : 265 d : 40,"Legend green (lit), yellow (lit) or white (lit) or red (lit) Background none Border none",https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RL3V-Arrows-and-cross.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RL3V-Arrows-and-cross-nolabels.gif,Original EPS/Regulatory/RL3V-Arrows-and-cross.eps | Original EPS/Regulatory/RL3V-Arrows-and-cross-nolabels.gif
Regulatory,822,R5-10,RJ53,RH-6,Axle limit,31 January 2017,,a : 1000 b : 750 r : 60 c : 10 d : 25 e : 75 1st line : 100B 2nd line : 100C 3rd line : Numerals 150C 3rd line : kg Transport D Med x = 75,Border : red (R) Background : white (R) Legend : black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RJ53-Axle-limit.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RJ53-Axle-limit-no-labels.gif,Original EPS/Regulatory/RJ53-Axle-limit.eps | Original EPS/Regulatory/RJ53-Axle-limit-no-labels.gif
Regulatory,801,R3-14,RPB,none,Barrier arm (used in conjunction with RPX1 assembly),26 January 2017,,a : Width varied to suit roadway being controlled b : 50 FRONT alternating vertical bands c : red 280 wide d : white 180 wide REVERSE at least 3 rectangles equally spaced across arm e : 280 wide # : spacing equal between red rectangles,Legend : red (R) and white (R) Background : white Border : none,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RPB-Barrier-arm.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RPB-Barrier-arm-nolabels.gif,Original EPS/Regulatory/RPB-Barrier-arm.eps | Original EPS/Regulatory/RPB-Barrier-arm-nolabels.gif
Regulatory,1248,R1-9.1,RS63,none,Beach 60km / 30km,15 November 2023,,a: 800 b: 1620 c: 1350 d: 250 e: 730 f: 600 g: 540 h: 400 i: 242 j: 137 k: 180 l: 212 m: 100 n: 45 o: 20 p: 10 q: 50 r: 80 r2: 50 s: 30 t: 75 Text: Series D 100 Numerals: 60 200 Numerals: 30 135,Regulatory sign Background: white (R) Border and Roundel: red (R) Legend: black Supplementary warning signs Background: yellow/green (RF) Legend: black Border: black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/R1-9.2-R1-Beach-English-Series-D.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/R1-9.2-R1-Beach-English-Series-D-non-labelled.gif,Original EPS/Regulatory/R1-9.2-R1-Beach-English-Series-D.eps
Regulatory,813,R4-7.2,RLB3,none,"Bus lane, single peak period",26 January 2017,,a : 600 b : 600 r : 60 c : 10 d : 15 Symbol w x h 465x160 e : 32 Type LINE 1 120D Type HOURS 80E Type MINS 40E Type AM PM 30E Type DAYS 40E,Legend : black Background : white (R) Border : red (R),https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RLB3-Bus-lane-single-peak-period.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RLB3-Bus-lane-single-peak-period-nolabels.gif,Original EPS/Regulatory/RLB3-Bus-lane-single-peak-period.eps | Original EPS/Regulatory/RLB3-Bus-lane-single-peak-period-nolabels.gif
Regulatory,814,R4-7.3,RLB4,none,"Bus lane, two periods same days",12 July 2023,,a : 600 b : 750 r : 60 c : 10 d : 15 Symbol w x h 465x160 e : 30 Type LINE 1 120D Type HOURS 80E Type MINS 40E Type AM PM 30E Type DAYS 40E,Legend : black Background : white (R) Border : red (R),https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RLB4-Bus-lane-2-periods-same-days.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RLB4-Bus-lane-2-periods-same-days-non-labelled.gif,Original EPS/Regulatory/RLB4-Bus-lane-2-periods-same-days.eps
Regulatory,834,R5-7.2,RJI1,none,Class I until `Date`,27 January 2017,,a : 275 b : 512 c : 25 Symbol CLASS 1 diameter 250 TYPE 50A,"Border : none Background : white (R) Legend : white (R) , red and black",https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RJI1-Class-1-until-date.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RJI1-Class-1-until-date-nolabels.gif,Original EPS/Regulatory/RJI1-Class-1-until-date.eps | Original EPS/Regulatory/RJI1-Class-1-until-date-nolabels.gif
Regulatory,804,R4-5,RL3L,none,Diagonal arrow left (generally lit),12 January 2017,,a : 300 b : 300 c : 265 d : 40,Legend yellow (lit) or white (lit) Background black (unlit) Border none,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RL3L-Diag-arrow-left.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RL3L-Diag-arrow-left-nolabels.gif,Original EPS/Regulatory/RL3L-Diag-arrow-left.eps | Original EPS/Regulatory/RL3L-Diag-arrow-left-nolabels.gif
Regulatory,806,R4-5,RL3R,none,Diagonal arrow right (generally lit),12 January 2017,,a : 300 b : 300 c : 265 d : 40,Legend yellow (lit) or white (lit) Background black (unlit) Border none,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RL3R-Diag-arrow-right.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/RL3R-Diag-arrow-right-nolabels.gif,Original EPS/Regulatory/RL3R-Diag-arrow-right.eps | Original EPS/Regulatory/RL3R-Diag-arrow-right-nolabels.gif
