code,name,family,file,edition,drawn_size,notes
D-3,STREET NAME,Guide Signs,STREET_NAME_D-3.svg,2004 Edition,24.4x6.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-1,DESTINATION (1 LINE),Guide Signs,DESTINATION_1_LINE_D1-1.svg,2024 Edition,36.0x12.1 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-1a,DESTINATION AND DISTANCE (1 LINE),Guide Signs,DESTINATION_AND_DISTANCE_1_LINE_D1-1a.svg,2024 Edition,43.2x11.8 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-1b,BICYCLE DESTINATION (1 LINE),Guide Signs,BICYCLE_DESTINATION_1_LINE_D1-1b.svg,2012 Supplement,27.0x6.0 in,scale from the drawing's overall height dimension (6.0 in)
D1-1bL,BICYCLE DESTINATION (1 LINE),Guide Signs,BICYCLE_DESTINATION_1_LINE_D1-1bL.svg,2024 Edition,38.9x8.7 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-1bR,BICYCLE DESTINATION (1 LINE),intervene/Guide Signs,BICYCLE_DESTINATION_1_LINE_D1-1bR.svg,2024 Edition,38.9x8.7 in,D1-1bR is not drawn on the sheet and D1-1bL carries an outlined legend that cannot be mirrored automatically
D1-1c,BICYCLE DESTINATION AND DISTANCE (1 LINE),Guide Signs,BICYCLE_DESTINATION_AND_DISTANCE_1_LINE_D1-1c.svg,2012 Supplement,30.0x6.0 in,scale from the drawing's overall height dimension (6.0 in)
D1-1cL,BICYCLE DESTINATION AND DISTANCE (1 LINE),Guide Signs,BICYCLE_DESTINATION_AND_DISTANCE_1_LINE_D1-1cL.svg,2024 Edition,43.2x8.7 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-1cR,BICYCLE DESTINATION AND DISTANCE (1 LINE),intervene/Guide Signs,BICYCLE_DESTINATION_AND_DISTANCE_1_LINE_D1-1cR.svg,2024 Edition,43.2x8.7 in,D1-1cR is not drawn on the sheet and D1-1cL carries an outlined legend that cannot be mirrored automatically
D1-1d,CIRCULAR INTERSECTION DESTINATION (1 LINE),Guide Signs,CIRCULAR_INTERSECTION_DESTINATION_1_LINE_D1-1d.svg,2024 Edition,36.0x9.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-1e,CIRCULAR INTERSECTION DEPARTURE GUIDE,Guide Signs,CIRCULAR_INTERSECTION_DEPARTURE_GUIDE_D1-1e.svg,2024 Edition,43.2x25.3 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-2,DESTINATION (2 LINES),Guide Signs,DESTINATION_2_LINES_D1-2.svg,2024 Edition,36.0x17.2 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-2a,DESTINATION AND DISTANCE (2 LINES),Guide Signs,DESTINATION_AND_DISTANCE_2_LINES_D1-2a.svg,2024 Edition,43.2x16.7 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-2b,BICYCLE DESTINATION (2 LINES),Guide Signs,BICYCLE_DESTINATION_2_LINES_D1-2b.svg,2024 Edition,36.0x14.5 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-2c,BICYCLE DESTINATION AND DISTANCE (2 LINES),Guide Signs,BICYCLE_DESTINATION_AND_DISTANCE_2_LINES_D1-2c.svg,2024 Edition,43.2x15.8 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-2d,CIRCULAR INTERSECTION DESTINATION (2 LINES),Guide Signs,CIRCULAR_INTERSECTION_DESTINATION_2_LINES_D1-2d.svg,2024 Edition,43.2x19.7 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-3,DESTINATION (3 LINES),Guide Signs,DESTINATION_3_LINES_D1-3.svg,2024 Edition,43.2x31.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D1-3a,DESTINATION AND DISTANCE (3 LINES),Guide Signs,DESTINATION_AND_DISTANCE_3_LINES_D1-3a.svg,2024 Edition,43.2x25.3 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
