code,name,family,file,size,register_dimensions,notes
RP6V,"""Stop On Red Signal"" variable",Regulatory Signs,STOP_ON_RED_SIGNAL_VARIABLE_RP6V.svg,1200x1000 mm,a : 1200 b : 1000 c : 30 d : 100 Text : 200D,
RL3V,"Arrow variable S, L or R and X",Regulatory Signs,ARROW_VARIABLE_S_L_OR_R_AND_X_RL3V.svg,202x202 mm,a : 265 b : 40 c : 265 d : 40,drawn width 202 mm vs register 265 mm — check; drawn at 2 sizes on the sheet; register size kept
RL3V,"Arrow variable S, L or R and X",Regulatory Signs,ARROW_VARIABLE_S_L_OR_R_AND_X_GREEN_RL3V.svg,120x265 mm,a : 265 b : 40 c : 265 d : 40,
RJ53,Axle limit,Regulatory Signs,AXLE_LIMIT_RJ53.svg,1000x750 mm,a : 1000 b : 750 r : 60 c : 10 d : 25 e : 75 1st line : 100B 2nd line : 100C 3rd line : Numerals 150C 3rd line : kg Transport D Med x = 75,
RPB,Barrier arm (used in conjunction with RPX1 assembly),Regulatory Signs,BARRIER_ARM_USED_IN_CONJUNCTION_WITH_RPX1_ASSEMBLY_RPB.svg,2120x50 mm,a : Width varied to suit roadway being controlled b : 50 FRONT alternating vertical bands c : red 280 wide d : white 180 wide REVERSE at least 3 rectangles equally spaced across arm e : 280 wide # : spacing equal between red rectangles,
RPB,Barrier arm (used in conjunction with RPX1 assembly),Regulatory Signs,BARRIER_ARM_USED_IN_CONJUNCTION_WITH_RPX1_ASSEMBLY_WHITE_RPB.svg,2120x50 mm,a : Width varied to suit roadway being controlled b : 50 FRONT alternating vertical bands c : red 280 wide d : white 180 wide REVERSE at least 3 rectangles equally spaced across arm e : 280 wide # : spacing equal between red rectangles,
RS63,Beach 60km / 30km,Regulatory Signs,BEACH_60KM_30KM_RS63.svg,824x1690 mm,a: 800 b: 1620 c: 1350 d: 250 e: 730 f: 600 g: 540 h: 400 i: 242 j: 137 k: 180 l: 212 m: 100 n: 45 o: 20 p: 10 q: 50 r: 80 r2: 50 s: 30 t: 75 Text: Series D 100 Numerals: 60 200 Numerals: 30 135,2 stroked path(s) ignored
RLB3,"Bus lane, single peak period",Regulatory Signs,BUS_LANE_SINGLE_PEAK_PERIOD_RLB3.svg,600x600 mm,a : 600 b : 600 r : 60 c : 10 d : 15 Symbol w x h 465x160 e : 32 Type LINE 1 120D Type HOURS 80E Type MINS 40E Type AM PM 30E Type DAYS 40E,
RLB4,"Bus lane, two periods same days",Regulatory Signs,BUS_LANE_TWO_PERIODS_SAME_DAYS_RLB4.svg,600x750 mm,a : 600 b : 750 r : 60 c : 10 d : 15 Symbol w x h 465x160 e : 30 Type LINE 1 120D Type HOURS 80E Type MINS 40E Type AM PM 30E Type DAYS 40E,1 stroked path(s) ignored
RJI1,Class I until `Date`,Regulatory Signs,CLASS_I_UNTIL_DATE_RJI1.svg,275x512 mm,a : 275 b : 512 c : 25 Symbol CLASS 1 diameter 250 TYPE 50A,
RL3L,Diagonal arrow left (generally lit),Regulatory Signs,DIAGONAL_ARROW_LEFT_GENERALLY_LIT_RL3L.svg,300x300 mm,a : 300 b : 300 c : 265 d : 40,
RL3R,Diagonal arrow right (generally lit),Regulatory Signs,DIAGONAL_ARROW_RIGHT_GENERALLY_LIT_RL3R.svg,300x300 mm,a : 300 b : 300 c : 265 d : 40,
RL3N,Diagonal cross (generally lit),Regulatory Signs,DIAGONAL_CROSS_GENERALLY_LIT_RL3N.svg,300x300 mm,a : 300 b : 300 c : 265 d : 40,
RL3S,Downward facing arrow (generally lit),Regulatory Signs,DOWNWARD_FACING_ARROW_GENERALLY_LIT_RL3S.svg,300x300 mm,a : 300 b : 300 c : 265 d : 40,
RL52,Emergency Stopping Lane - specified time,Regulatory Signs,EMERGENCY_STOPPING_LANE_SPECIFIED_TIME_RL52.svg,1500x1100 mm,a : 1500 b : 1100 r : 80 c : 10 d : 30 Legend : 160D Legend : minutes am/pm 80D e : 70,
RB1,General regulatory,Regulatory Signs,GENERAL_REGULATORY_RB1.svg,600x600 mm,a : 600 b : 600 r : 60 c : 10 d : 15 e : 50 Type : 100C,
RB2,General regulatory – variable [messages subject to RCA protocol],Regulatory Signs,GENERAL_REGULATORY_VARIABLE_MESSAGES_SUBJECT_TO_RCA_PROTOCOL_RB2.svg,1930x1070 mm,a : To suit message requirements 1930 b : To suit message requirements 1070 c : 25 d : 100 Type : 200D,
RG51,General supplementary days `Mon-Fri`,Regulatory Signs,GENERAL_SUPPLEMENTARY_DAYS_MON_FRI_RG51.svg,400x200 mm,a : 400 b : 200 r : 50 c : 15 d : 10 Legend : NZ Transport medium `x` height 40 mm,
RP2F,Give Way (RP2 or RP21) fluorescent backing board,Regulatory Signs,GIVE_WAY_RP2_OR_RP21_FLUORESCENT_BACKING_BOARD_RP2F.svg,1261x1075 mm,a : 1260 b : 1075 r : 100 c : 355 d : 150 e : 10 f : 65 g : 865,
RP74,Give Way - supplementary - left turning traffic,Regulatory Signs,GIVE_WAY_SUPPLEMENTARY_LEFT_TURNING_TRAFFIC_RP74.svg,900x800 mm,a 900 b 800 r 60 c 75 d 20 e 10 Legend 150C,
none,Give-way roundabout,Regulatory Signs,GIVE_WAY_ROUNDABOUT_none.svg,1200x1200 mm,"a 1200 b : Legend R2-3 sign 65 c : Legend arrows SHAFT 37 Legend ""GIVE WAY"" 150B",
RS52.1,Green Threshold option A rural/urban,Regulatory Signs,GREEN_THRESHOLD_OPTION_A_RURAL_URBAN_RS52.1.svg,1800x2550 mm,a: 1800 b: 2550 r: 150 c: 1200 d: 150 e: 100 f: 210 g: 40 h: 40 WELCOME TO 100D LOCALITY 160 E Mod,1 stroked path(s) ignored
