code,name,family,file,size,notes,source
ACTSD-3601,Vertical and lateral sign positioning,Other,,,"post, footing and positioning details — no sign face",Original PDFs/ACTSD/ACTSD-3601-Rev-0.pdf
ACTSD-3602,Endorsed sign systems,Other,,,"post, footing and positioning details — no sign face",Original PDFs/ACTSD/ACTSD-3602-Rev-0.pdf
ACTSD-3610,School zone sign details,Regulatory Signs,,,vector sheet but no sign face drawing found (assembly / detail drawing),Original PDFs/ACTSD/ACTSD-3610-Rev-0.pdf
ACTSD-3611,Refuge island sign details,Regulatory Signs,,,vector sheet but no sign face drawing found (assembly / detail drawing),Original PDFs/ACTSD/ACTSD-3611-Rev-0.pdf
ACTSD-3620,Finger board sign details,Guide Signs,,,vector sheet but no sign face drawing found (assembly / detail drawing),Original PDFs/ACTSD/ACTSD-3620-Rev-0.pdf
ACTSD-3630,Signpost and footing details,Other,,,"post, footing and positioning details — no sign face",Original PDFs/ACTSD/ACTSD-3630-Rev-0.pdf
ACTSD-3701,ACT standard parking signs,Parking Signs,,,"scanned sheet (raster image with OCR text); sign faces not drawn — needs the CAD original from TCCS; codes on the sheet: R5-13, R5-13/1, R5-13/2, R5-13/3, R5-13/4, R5-13/6, R5-13/7, R5-15, R5-15/1, R5-15/16, R5-15/17, R5-15/18",Original PDFs/ACTSD/ACTSD-3701-Rev-0.pdf
ACTSD-3702,ACT standard parking signs,Parking Signs,,,"scanned sheet (raster image with OCR text); sign faces not drawn — needs the CAD original from TCCS; codes on the sheet: R5-16, R5-16/1, R5-16/14, R5-16/2, R5-16/20, R5-16/21, R5-16/22, R5-16/3, R5-16/4, R5-16/5, R5-16/6, R5-16/7",Original PDFs/ACTSD/ACTSD-3702-Rev-0.pdf
ACTSD-3703,ACT standard parking signs,Parking Signs,,,"scanned sheet (raster image with OCR text); sign faces not drawn — needs the CAD original from TCCS; codes on the sheet: R5-1, R5-1/1, R5-1/2, R5-1/20, R5-1/21, R5-1/3, R5-1/30, R5-1/35, R5-1/36, R5-1/37, R5-1/38, R5-1/39",Original PDFs/ACTSD/ACTSD-3703-Rev-0.pdf
ACTSD-3704,ACT standard parking signs,Parking Signs,,,"scanned sheet (raster image with OCR text); sign faces not drawn — needs the CAD original from TCCS; codes on the sheet: R5-1/50, R5-1/51, R5-1/52, R5-1/53, R5-1/54, R5-1/55, R5-2, R5-2/1, R5-2/10, R5-2/11, R5-2/2, R5-2/23",Original PDFs/ACTSD/ACTSD-3704-Rev-0.pdf
ACTSD-3705,ACT standard parking signs,Parking Signs,,,"scanned sheet (raster image with OCR text); sign faces not drawn — needs the CAD original from TCCS; codes on the sheet: R5-10/1, R5-10/1-1, R5-10/1-2, R5-3, R5-3/1, R5-3/15, R5-3/20, R5-3/3, R5-4/1, R5-4/15, R5-4/16, R5-4/2",Original PDFs/ACTSD/ACTSD-3705-Rev-0.pdf
