code,file,drawn_size_mm,legend,check,intervene,notes
CS-3460,,,(Infrastructure Investment Program project sign details),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS-3461,,,(Infrastructure Investment Program project sign details),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS-3462,,,(Stimulus Program project sign details),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS-3463,,,(project managed by the NT Government project sign details),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS-3519,,,(advertising sign details),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS-3520,,,(advertising sign details),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS-3521,,,(advertising sign details),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS1557,Warning Signs/PREPARE_TO_STOP_SIGNALS_AHEAD_WHITE_TALL_CS1557.svg,1800x2600,PREPARE TO STOP,ok,,"symbol:w3-3_signals Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS1557 'Traffic signal advance warning sign' (mounting detail with the sign face): 1800 x 2600 board, R300, 25 wide black border strip, white; two 300 dia traffic lights at the top (drawn as rings: black annulus R175/R150 about (250, 298) and (1550, 298), positions measured), a painted W3-3-C standard warning sign 1365 across the diagonals (vertical chain 300/1365/125/660/150) centred, yellow paint Y14 with black border (yellow 10 / black 20 / R50 as AS 1743 W3-3) and the W3-3 signal pictogram (box measured 590 x 949 at (603, 530), larger than the national proportion), a 1500 x 660 rectangle of red paint R13 at 150 in / 1790 down with PREPARE / TO STOP in white. Letter height and series not stated: 180 measured, Series D by shape; cap tops 1890 / 2170 (measured 1885 / 2160, 95 in from the red panel), word gap 260 measured. The sheet's letters are spaced much wider than AS 1744 (PREPARE 1197 wide there, 1023 here), so no width check."
CS3451,,,"(NTG project sign (Project name and description $X.X million, NTG ochre / sky blue colour table))","SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS3459,,,(project signs program selection (Infrastructure Investment Program sign faces)),"SKIPPED: project / advertising sign structure details ('INSERT IMAGE HERE' panels, posts, footings, government branding), not a traffic sign face",,
CS3503,,,SCHOOL ZONE 7AM-5PM SCHOOL DAYS 40 (with W6-3 children 750 above),"SKIPPED: school zone sign details: a mounting drawing (front and side views, posts, footing) — the W6-3 children diamond 750 x 750 is the national sign (Complete/Australia/National (AS 1743)/SVGs/Warning Signs/CHILDREN_YELLOWGREEN_DIAMOND_W6-3.svg; the sheet's alternative face 'W6-313' is the same pictogram on yellow); the NT school-zone panel below it (SCHOOL ZONE / 7AM-5PM / SCHOOL DAYS with a 40 annulus) carries only its 1000 height, no width, letter sizes, series or annulus, and is drawn out of proportion to the diamond above it",,
CS3504,Regulatory Signs/60_KMH_SPEED_LIMIT_1KM_AHEAD_RED_LONG_CS3504.svg,2040x1020,60km/h SPEED LIMIT 1km AHEAD,ok,," Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS3504 'Northern Territory standard speed limit sign' (2017): sign plate 2040 x 1020, background red Class 1, wording and border white Class 1: red edge 40, white border 40, 80 to the text (inner 1720); corner radius not stated (measured about 100). Three lines of 180 Mod E text, vertical chain 40/40/80/180/80/180/80/180/80/40/40, centred; word gaps not stated (measured 177: 180 used). The sheet shows 110km/h; CS3509 uses the same plate at 60, 80 and 100 km/h ('plate size to remain the same regardless of speed limit ahead'): generated for 60/80/100/110. Drawn text widths 1154 / 890+683 / 494+940 (E Mod here 1160 / 857+668 / 488+924)."
CS3504,Regulatory Signs/80_KMH_SPEED_LIMIT_1KM_AHEAD_RED_LONG_CS3504.svg,2040x1020,80km/h SPEED LIMIT 1km AHEAD,ok,," Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS3504 'Northern Territory standard speed limit sign' (2017): sign plate 2040 x 1020, background red Class 1, wording and border white Class 1: red edge 40, white border 40, 80 to the text (inner 1720); corner radius not stated (measured about 100). Three lines of 180 Mod E text, vertical chain 40/40/80/180/80/180/80/180/80/40/40, centred; word gaps not stated (measured 177: 180 used). The sheet shows 110km/h; CS3509 uses the same plate at 60, 80 and 100 km/h ('plate size to remain the same regardless of speed limit ahead'): generated for 60/80/100/110. Drawn text widths 1154 / 890+683 / 494+940 (E Mod here 1160 / 857+668 / 488+924)."
CS3504,Regulatory Signs/100_KMH_SPEED_LIMIT_1KM_AHEAD_RED_LONG_CS3504.svg,2040x1020,100km/h SPEED LIMIT 1km AHEAD,ok,," Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS3504 'Northern Territory standard speed limit sign' (2017): sign plate 2040 x 1020, background red Class 1, wording and border white Class 1: red edge 40, white border 40, 80 to the text (inner 1720); corner radius not stated (measured about 100). Three lines of 180 Mod E text, vertical chain 40/40/80/180/80/180/80/180/80/40/40, centred; word gaps not stated (measured 177: 180 used). The sheet shows 110km/h; CS3509 uses the same plate at 60, 80 and 100 km/h ('plate size to remain the same regardless of speed limit ahead'): generated for 60/80/100/110. Drawn text widths 1154 / 890+683 / 494+940 (E Mod here 1160 / 857+668 / 488+924)."
CS3504,Regulatory Signs/110_KMH_SPEED_LIMIT_1KM_AHEAD_RED_LONG_CS3504.svg,2040x1020,110km/h SPEED LIMIT 1km AHEAD,ok,," Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS3504 'Northern Territory standard speed limit sign' (2017): sign plate 2040 x 1020, background red Class 1, wording and border white Class 1: red edge 40, white border 40, 80 to the text (inner 1720); corner radius not stated (measured about 100). Three lines of 180 Mod E text, vertical chain 40/40/80/180/80/180/80/180/80/40/40, centred; word gaps not stated (measured 177: 180 used). The sheet shows 110km/h; CS3509 uses the same plate at 60, 80 and 100 km/h ('plate size to remain the same regardless of speed limit ahead'): generated for 60/80/100/110. Drawn text widths 1154 / 890+683 / 494+940 (E Mod here 1160 / 857+668 / 488+924)."
CS3505,Temporary Signs/ROAD_CLOSED_WHITE_LONG_SKINNY_CS3505.svg,2400x600,ROAD CLOSED,ok,," Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS3505 'Road closure sign' (2017): folding two-half sign (permanently attached top half, folding bottom half), background white Class 1; the sign face is drawn 'not to scale' with the border 25 and edge 25 and its size from the elevation (300 + 1800 post spacing + 300 = 2400 wide, 100/200/200/100 = 600 high; the face is drawn 4:1). Legend not specified: black ROAD over CLOSED, letters measured 160 high with cap tops 90 / 340 (rows 90/160/90/160/100), Series E by the drawn widths (ROAD 612, CLOSED 900 measured; E 634 / 914). Not the AS 1743 T2-4 / G9-20 ROAD CLOSED (one line, 1800 x 300)."
CS3506,,,TRUCK REST AREA / FOR YOUR SAFETY AND COMFORT PLEASE DO NOT CAMP HERE / NEXT REST AREA xx km (G7-9-2B),"SKIPPED: truck parking bay standard sign details: only the overall size 1695 x 1485 is given and the face is drawn not to scale (1.6:1 against the stated 1.14:1), no letter heights, symbol sizes or positions ('all text Series C medium spacing, centred in its panel'); notes name it G7-9-2B",,
CS3507A,Other/REDUCE_NOISE_PLEASE_LIMIT_COMPRESSION_BRAKING_WHITE_SQUARE_CS3507A.svg,1600x1600,REDUCE NOISE PLEASE LIMIT COMPRESSION BRAKING,ok,,"symbol:nt_cs3507_truck Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS3507 'Limited compression braking information sign' (2017), table type A: A 1600 square, R 200; B 20 black border with C 40 = edge + border (white edge 20); D 110 margin to the yellow panel (retroreflective yellow, black border H 20, gap K 60, REDUCE NOISE M 120 'DM' = Series D, cap top 190); G 85 to the truck, N 350 tall x P 1108 wide (P dimensioned over the truck), centred; G 85 to PLEASE LIMIT / COMPRESSION / BRAKING E 140 'DM' (Series D), F 80 between lines, D 110 at the bottom: chain D K H M H K G N G E F E F E D = 1600. Panel corner radii and word gaps not stated (panel R measured about 50 outer; REDUCE NOISE gap measured 162 at type A; the lower lines' word gap taken as the letter height). Type A for residential/urban perimeters, type B for multilane roads. The sheet's CAD text is letter-spaced wider than AS 1744 (no width check). Overlay against the type A sheet for both."
CS3507B,Other/REDUCE_NOISE_PLEASE_LIMIT_COMPRESSION_BRAKING_WHITE_SQUARE_CS3507B.svg,2000x2000,REDUCE NOISE PLEASE LIMIT COMPRESSION BRAKING,ok,,"symbol:nt_cs3507_truck Department of Logistics and Infrastructure (DIPL) civil standard drawing, CAD sheet in colour; every dimension from the sheet unless stated; AS 1744 (plus0) spacing. Sheet CS3507 'Limited compression braking information sign' (2017), table type B: A 2000 square, R 250; B 25 black border with C 50 = edge + border (white edge 25); D 130 margin to the yellow panel (retroreflective yellow, black border H 30, gap K 75, REDUCE NOISE M 150 'DM' = Series D, cap top 235); G 104 to the truck, N 436 tall x P 1386 wide (P dimensioned over the truck), centred; G 104 to PLEASE LIMIT / COMPRESSION / BRAKING E 180 'DM' (Series D), F 98 between lines, D 130 at the bottom: chain D K H M H K G N G E F E F E D = 2000. Panel corner radii and word gaps not stated (panel R measured about 50 outer; REDUCE NOISE gap measured 162 at type A; the lower lines' word gap taken as the letter height). Type A for residential/urban perimeters, type B for multilane roads. The sheet's CAD text is letter-spaced wider than AS 1744 (no width check). Overlay against the type A sheet for both."
CS3509,,,"(speed limit treatment layouts: R4-1 130/110/100/80/60, R4-11 80/60 AHEAD, xx km/h SPEED LIMIT 1km AHEAD plates)","SKIPPED: remote-area speed treatment layouts (100, 80, 60 km/h), diagrammatic: the signs are the national R4-1 (B size) and R4-11 (Complete/Australia/National (AS 1743)/SVGs/Speed Signs/...) and the CS3504 advance plate (generated here at 60/80/100/110)",,
CS3510,,,"PLEASE ARRIVE ALIVE X KM / PLAN A BREAK / TAKE A BREAK (name of town or roadhouse, rest-area numbers, service symbols)","SKIPPED: highway service signs, 'signs derived from TraSiCAD': widths 'vary depending on image size and location name', placeholder legends (name of town or roadhouse, X km, 1-5); only heights 900 (60/200/500/350/50) given; the PLEASE ARRIVE ALIVE sign is not dimensioned at all",,
