code,file,drawn_size_mm,legend,check,intervene,notes
R2-9-Q01,Regulatory Signs/RIGHT_LANE_MUST_U_TURN_WHITE_TALL_R2-9-Q01.svg,450x750,RIGHT LANE MUST U TURN,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R2-9-Q01 'Right lane must U turn' (traffic instruction sign, 2023). Size A 450 x 750 generated (B 600 x 1000 also tabled), r 50, c 10 / d 30. Vertical chain e 61 / f 80E / g 37 / f / g / f / g / h 160E / g / f / e 61 = 750: cap tops 61, 178, 295, 412 (U), 609. Black on white."
R2-Q02(L),Regulatory Signs/THROUGH_TRAFFIC_KEEP_LEFT_WHITE_TALL_R2-Q02(L).svg,600x800,THROUGH TRAFFIC KEEP LEFT,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R2-Q02 'Through traffic keep left (right) (L & R)' (1995/2016), both hands drawn side by side ((L) left). Size A 600 x 800 generated (B 900 x 1200, C 1200 x 1600 also tabled), r 50, c 10 / d 30. Chain e 80 / h 100B / e / g 100C / e / f 100D / e / f 100D / e = 800: cap tops 80, 260, 440, 620. Black on white; the two hands differ only in the word LEFT / RIGHT."
R2-Q02(R),Regulatory Signs/THROUGH_TRAFFIC_KEEP_RIGHT_WHITE_TALL_R2-Q02(R).svg,600x800,THROUGH TRAFFIC KEEP RIGHT,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R2-Q02 'Through traffic keep left (right) (L & R)' (1995/2016), both hands drawn side by side ((L) left). Size A 600 x 800 generated (B 900 x 1200, C 1200 x 1600 also tabled), r 50, c 10 / d 30. Chain e 80 / h 100B / e / g 100C / e / f 100D / e / f 100D / e = 800: cap tops 80, 260, 440, 620. Black on white; the two hands differ only in the word LEFT / RIGHT."
R3-Q01,Regulatory Signs/WALK_TO_ISLAND_AND_WAIT_FOR_FURTHER_SIGNAL_WHITE_LONG_R3-Q01.svg,450x300,WALK TO ISLAND AND WAIT FOR FURTHER SIGNAL,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R3-Q01 (1995/2016). 450 x 300, R25, 5 / 15. Chain 36 / 55B / 32 / 55B / 32 / 55B / 35 = 300: cap tops 36, 123, 210. Word gaps are not stated: 23 measured from the sheet's drawing (word gaps 22-27, lines 388 / 333 / 394 wide at 55 B), so each line fits the 420 inside the border; the font's own space glyph would overflow the sign. Black on white."
TC2255,Regulatory Signs/TRUCK_SPEED_LIMIT_WHITE_SQUARE_TC2255.svg,600x600,TRUCK SPEED LIMIT,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. TC-series sheet TC2255 'Truck speed limit' (regulatory supplementary plate installed above R4-1, 2017). Size B 600 x 600 generated to match the national R4-1 (600 wide) it sits above (A 450, C 900, D 1200 also tabled): r 100, c 15 / d 45, e 100, f 100D, g 50: chain e / f / g / f / g / f / e = 100+100+50+100+50+100+100 = 600, cap tops 100, 250, 400. Black on white."
R4-040-Q06-1,Regulatory Signs/BUSES_WHITE_WIDE_R4-040-Q06-1.svg,450x150,BUSES,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R4-040-Q06_1 'Class of vehicle supplementary plate' page 1 (2025): two plates, R4-040-Q06_1_1 BUSES and _1_2 TRUCKS, generated as the two values of one spec (under a speed sign, see the sheet's examples). Size A 450 x 150 generated (B 600 x 200, C 900 x 300, D 1200 x 400 also tabled), r 25, c 5 / d 15. Chain e 45 / f 60D / e 45 = 150: cap top 45. Black on white."
R4-040-Q06-1,Regulatory Signs/TRUCKS_WHITE_WIDE_R4-040-Q06-1.svg,450x150,TRUCKS,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R4-040-Q06_1 'Class of vehicle supplementary plate' page 1 (2025): two plates, R4-040-Q06_1_1 BUSES and _1_2 TRUCKS, generated as the two values of one spec (under a speed sign, see the sheet's examples). Size A 450 x 150 generated (B 600 x 200, C 900 x 300, D 1200 x 400 also tabled), r 25, c 5 / d 15. Chain e 45 / f 60D / e 45 = 150: cap top 45. Black on white."
R4-040-Q06-2,Regulatory Signs/ROAD_TRAINS_WHITE_LONG_R4-040-Q06-2.svg,450x300,ROAD TRAINS,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R4-040-Q06_2 'Class of vehicle supplementary plate' page 2, ROAD TRAINS (2025). Size A 450 x 300 generated (B 600 x 400, C 900 x 600, D 1200 x 800 also tabled), r 25, c 5 / d 15. Chain e 45 / f 80D / g 50 / f 80D / e 45 = 300: cap tops 45 and 175. Black on white."
R4-040-Q06-3,Regulatory Signs/TRUCKS_AND_BUSES_WHITE_LONG_R4-040-Q06-3.svg,450x300,TRUCKS AND BUSES,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R4-040-Q06_3 'Class of vehicle supplementary plate' page 3, TRUCKS AND BUSES (2025). Size A 450 x 300 generated (B 600 x 400, C 900 x 600, D 1200 x 800 also tabled), r 25, c 5 / d 15. Chain e 40 / f 50D / g 35 / f / g / f / e 40 = 300: cap tops 40, 125, 210. Black on white."
R5-Q01,Parking Signs/TOW-AWAY_ZONE_RED_SQUARE_R5-Q01.svg,225x200,TOW-AWAY ZONE IF TOWED PHONE POLICE,ok,," TMR Queensland design sheet (Q-series book / TC-series), colour drawing 'not to scale' with a lettered dimension table; every dimension from the sheet, AS 1744 (plus0) spacing. The sheets give no letter widths, so there is no width check. Sheet 'c' is the white edge and 'd' the edge + border (read as AS 1743 does: 10/30 = edge 10 + border 20, 5/15 = 5 + 10, 15/45 = 15 + 30), confirmed against the national R-series pairs. Q-series sheet R5-Q01 'Tow-away zone' regulatory (parking) sign (1995/2016). 225 x 200, R25, 5 / 15: white edge 5, red border 10 (legend and border red on white). Chain 38 / 30D TOW-AWAY / 24 / 30D ZONE / 24 / 15B IF TOWED PHONE / 39 = 200: cap tops 38, 92, 146. Bottom line: IF TOWED PHONE 15 B left-aligned (ink left 23 and word gaps 7 measured from the sheet's drawing) and the dashed 65-wide box 20 in from the right edge (x 140-205) for 'POLICE or phone number': POLICE 15 B centred in the box (the sheet leaves it blank). Red on white."
