id,series,name,codes,sizes,pdf,hidden,local
60,R5 PARKING SERIES,Parking Signs - Refer to Australian Standards for sign sizes and design detail,,,N,False,
1023,OTHER,"State Government and Federal Government funded Project Sign Guidelines - Black Spot
",,,Y,False,Original PDFs/1023.pdf
1281,OTHER,Red Stop Disc Signal (Operational Tram Sign),332-A3-11-2423,230x230,Y,False,Original PDFs/1281.pdf
711,W7 RAILWAY LEVEL CROSSING SERIES,TES13699 or RX-11,13699,1200x1650,N,False,
1484,R6 MISCELLANEOUS SERIES,Railway Crossing Position With Target Board 2 Tracks Stop Look For Trains,13908(2),750x1800,Y,False,Original PDFs/1484.pdf
1125,OTHER,Event Parking restrictions,19086,1200x1650,N,False,
1121,OTHER,Stadium Parking,19120,1200x1650,N,False,
1267,OTHER,Compulsary Stop (Operational Tram Sign),CS2-DRG-352357,450x300,Y,False,Original PDFs/1267.pdf
1268,OTHER,Stopping Place (Operational Tram Sign),CS2-DRG-352358,450x300,Y,False,Original PDFs/1268.pdf
1269,OTHER,Start Single Line Working (Operational Tram Sign),CS2-DRG-352359,550x450,Y,False,Original PDFs/1269.pdf
1270,OTHER,End Single Line Working (Operational Tram Sign),CS2-DRG-352360,550x450,Y,False,Original PDFs/1270.pdf
1271,OTHER,Induction Loop (Operational Tram Sign),CS2-DRG-352361,300x450,Y,False,Original PDFs/1271.pdf
1272,OTHER,Sound Bell (Operational Tram Sign),CS2-DRG-352362,450x400,Y,False,Original PDFs/1272.pdf
1273,OTHER,Fouling Point (Operational Tram Sign),CS2-DRG-352363,450x300,Y,False,Original PDFs/1273.pdf
1274,OTHER,Shunt Limit (Operational Tram Sign),CS2-DRG-352364,450x300,Y,False,Original PDFs/1274.pdf
349,D4 HAZARD MARKERS SERIES,Unidirectional Hazard Marker,D4-1-1A | D4-1-1B,1600x400 | 3200x800,N,False,
351,D4 HAZARD MARKERS SERIES,Unidirectional Hazard Marker,D4-1-2A | D4-1-2B,450x450 | 600x600,N,False,
356,D4 HAZARD MARKERS SERIES,Bidirectional Hazard Marker,D4-2-2A | D4-2-2B,300x750 | 400x1000,N,False,
1480,D4 HAZARD MARKERS SERIES,Bidirectional Hazard Marker (for larger size use D4-SA2-1),D4-2-3A | D4-2-3B,1600x400 | 3200x800,Y,False,Original PDFs/1480.pdf
357,D4 HAZARD MARKERS SERIES,Width Marker (L or R) (left shown),D4-3A | D4-3B,225x450 | 450x900,N,False,
359,D4 HAZARD MARKERS SERIES,Obstruction Marker,D4-5-1,1800x400,N,False,
360,D4 HAZARD MARKERS SERIES,Obstruction Board,D4-5 | D4-SA5,1800x400 | 2400x400,Y,False,Original PDFs/360.pdf
361,D4 HAZARD MARKERS SERIES,Chevron Alignment Marker,D4-6A | D4-6B | D4-6C | D4-6S,600x750 | 750x900 | 900x1125 | 450x600,Y,False,Original PDFs/361.pdf
350,D4 HAZARD MARKERS SERIES,Unidirectional Hazard Board,D4-SA1-1,2400x400,Y,False,Original PDFs/350.pdf
353,D4 HAZARD MARKERS SERIES,Hazard Marker For Convex Nose Assembly on a Low Maintenance Attenuator ONLY,D4-SA1-4,1000x450,Y,False,Original PDFs/353.pdf
355,D4 HAZARD MARKERS SERIES,Bidirectional Hazard Board,D4-SA2-1,2400x400,Y,False,Original PDFs/355.pdf
922,D4 HAZARD MARKERS SERIES,BidirectionalHazard Marker (Smaller),D4-SA2-S,400x600,Y,False,Original PDFs/922.pdf
362,D4 HAZARD MARKERS SERIES,Hazard Marker For Type F Concrete Safety Barrier ONLY,D4-SA50-1,240x445,Y,False,Original PDFs/362.pdf
723,D4 HAZARD MARKERS SERIES,Hazard Marker for VCB Concrete Safety Barrier or Temporary Bollard,D4-SA50-2,150x450,N,False,
668,D4 HAZARD MARKERS SERIES,Width Marker for ET2000 Terminal Ends (L or R) (right shown),D4-SA51-1,350x700,Y,False,Original PDFs/668.pdf
862,D4 HAZARD MARKERS SERIES,Width Marker for SKT Terminal (LorR) (right shown),D4-SA51-2,490x490,Y,False,Original PDFs/862.pdf
