code,file,drawn_size_mm,legend,check,intervene,notes
R9-SA105B,Regulatory Signs/LOCAL_DELIVERY_OR_PICKUP_EXCEPTED_WHITE_LONG_R9-SA105B.svg,900x750,LOCAL DELIVERY OR PICKUP EXCEPTED,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. Sheet R9-SA105 (2022): R9-SA105B 900 x 750 illustrated (A 600 x 500, C 1200 x 1000 in the table; the register lists the A size first, PNG R9-SA105A.png), R100, 12 / 36 (edge 12 + border 24). Four lines 100 D, chain 185/160/160/160/85 (baselines): tops 85, 245, 405, 565. Widths LOCAL 409 (245/409/246), DELIVERY 609 (145/609/146), OR 161 + 75 + PICKUP 458 (103/161/75/458/103), EXCEPTED 622 (139/622/139). For use with R6-10-2 only."
R9-SA106C,Regulatory Signs/OVER_4.5_t_WHITE_LONG_R9-SA106C.svg,1800x1050,OVER 4.5 t,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. Sheet R9-SA106 (1:15): R9-SA106C 1800 x 1050 illustrated (B 1200 x 700 also; register lists B first, PNG R9-SA106B.png), R150, 24 / 72 (edge 24 + border 48). OVER 240 E, baseline 455 (top 215), ink 919 (440/919/441). Line 2 baseline 835 (455 + 380): mass numerals 240 E ('Varies', dashed box) then 100 gap and lower-case t '200 E(lc)' 92 wide, the line centred ('=' both sides). The t is Series E lower case at cap height 200 (the FHWA Series E t at 200 is 92 wide, as the sheet states); its baseline is the numerals' baseline. The sheet gives no example mass: generated at 4.5, 8, 12, 15 and 22.5 t (gross-mass thresholds used on Australian load-limit plates; not confirmed against SA practice — add or drop values as needed). Only with R6-28; TASS to be contacted before use."
R9-SA106C,Regulatory Signs/OVER_8_t_WHITE_LONG_R9-SA106C.svg,1800x1050,OVER 8 t,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. Sheet R9-SA106 (1:15): R9-SA106C 1800 x 1050 illustrated (B 1200 x 700 also; register lists B first, PNG R9-SA106B.png), R150, 24 / 72 (edge 24 + border 48). OVER 240 E, baseline 455 (top 215), ink 919 (440/919/441). Line 2 baseline 835 (455 + 380): mass numerals 240 E ('Varies', dashed box) then 100 gap and lower-case t '200 E(lc)' 92 wide, the line centred ('=' both sides). The t is Series E lower case at cap height 200 (the FHWA Series E t at 200 is 92 wide, as the sheet states); its baseline is the numerals' baseline. The sheet gives no example mass: generated at 4.5, 8, 12, 15 and 22.5 t (gross-mass thresholds used on Australian load-limit plates; not confirmed against SA practice — add or drop values as needed). Only with R6-28; TASS to be contacted before use."
R9-SA106C,Regulatory Signs/OVER_12_t_WHITE_LONG_R9-SA106C.svg,1800x1050,OVER 12 t,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. Sheet R9-SA106 (1:15): R9-SA106C 1800 x 1050 illustrated (B 1200 x 700 also; register lists B first, PNG R9-SA106B.png), R150, 24 / 72 (edge 24 + border 48). OVER 240 E, baseline 455 (top 215), ink 919 (440/919/441). Line 2 baseline 835 (455 + 380): mass numerals 240 E ('Varies', dashed box) then 100 gap and lower-case t '200 E(lc)' 92 wide, the line centred ('=' both sides). The t is Series E lower case at cap height 200 (the FHWA Series E t at 200 is 92 wide, as the sheet states); its baseline is the numerals' baseline. The sheet gives no example mass: generated at 4.5, 8, 12, 15 and 22.5 t (gross-mass thresholds used on Australian load-limit plates; not confirmed against SA practice — add or drop values as needed). Only with R6-28; TASS to be contacted before use."
R9-SA106C,Regulatory Signs/OVER_15_t_WHITE_LONG_R9-SA106C.svg,1800x1050,OVER 15 t,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. Sheet R9-SA106 (1:15): R9-SA106C 1800 x 1050 illustrated (B 1200 x 700 also; register lists B first, PNG R9-SA106B.png), R150, 24 / 72 (edge 24 + border 48). OVER 240 E, baseline 455 (top 215), ink 919 (440/919/441). Line 2 baseline 835 (455 + 380): mass numerals 240 E ('Varies', dashed box) then 100 gap and lower-case t '200 E(lc)' 92 wide, the line centred ('=' both sides). The t is Series E lower case at cap height 200 (the FHWA Series E t at 200 is 92 wide, as the sheet states); its baseline is the numerals' baseline. The sheet gives no example mass: generated at 4.5, 8, 12, 15 and 22.5 t (gross-mass thresholds used on Australian load-limit plates; not confirmed against SA practice — add or drop values as needed). Only with R6-28; TASS to be contacted before use."
R9-SA106C,Regulatory Signs/OVER_22.5_t_WHITE_LONG_R9-SA106C.svg,1800x1050,OVER 22.5 t,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. Sheet R9-SA106 (1:15): R9-SA106C 1800 x 1050 illustrated (B 1200 x 700 also; register lists B first, PNG R9-SA106B.png), R150, 24 / 72 (edge 24 + border 48). OVER 240 E, baseline 455 (top 215), ink 919 (440/919/441). Line 2 baseline 835 (455 + 380): mass numerals 240 E ('Varies', dashed box) then 100 gap and lower-case t '200 E(lc)' 92 wide, the line centred ('=' both sides). The t is Series E lower case at cap height 200 (the FHWA Series E t at 200 is 92 wide, as the sheet states); its baseline is the numerals' baseline. The sheet gives no example mass: generated at 4.5, 8, 12, 15 and 22.5 t (gross-mass thresholds used on Australian load-limit plates; not confirmed against SA practice — add or drop values as needed). Only with R6-28; TASS to be contacted before use."
R9-SA107A,Regulatory Signs/ON_GREEN_ARROW_WHITE_TALL_R9-SA107A.svg,450x600,ON GREEN ARROW,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA107A (450 x 600) illustrated (B 600 x 800), R50, 8 / 24 (edge 8 + border 16). ON 90 D, GREEN 90 C, ARROW 90 C; chain 185/160/160/95 (baselines): tops 95, 255, 415. Widths ON 145 (152/145/153), GREEN 307 (71/307/72), ARROW 332 (59/332/59). Only with R2-15."
R9-SA108A,Regulatory Signs/BUS_LANE_VEHICLES_EXCEPTED_WHITE_SQUARE_R9-SA108A.svg,450x450,BUS LANE VEHICLES EXCEPTED,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA108A (450 x 450) illustrated (B 600), 2022 sheet, R50, 6 / 18. Four lines 60 D, chain 105/100/100/100/45 (baselines): tops 45, 145, 245, 345. Widths BUS 143 (153/143/154), LANE 193 (128/193/129), VEHICLES 364 (43/364/43), EXCEPTED 373 (38/373/39)."
R9-SA110A,Regulatory Signs/HOOK_TURN_EXCEPTED_WHITE_LONG_R9-SA110A.svg,450x300,HOOK TURN EXCEPTED,ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA110A (450 x 300) illustrated (B 600 x 400), R50, 6 / 18. HOOK 55 E, TURN 55 E, EXCEPTED 55 D; chain 99/78/78/45 (baselines): tops 44, 122, 200. Widths HOOK 219 (115/219/116), TURN 210 (115/210/125), EXCEPTED 342 (54/342/54)."
R9-SA53-2A,Regulatory Signs/AT_WEST_LAKES_BOULEVARD_WHITE_SQUARE_R9-SA53-2A.svg,450x450,"AT (road name, three lines)",ok,," DIT SA Standard Road Sign Index sheet (A4, legends and dimensions outlined, colour legend; size from the sheet's size table = register). Every dimension from the sheet; AS 1744 (plus0) spacing. The sheet's two edge figures are the white edge and edge + black border (6 / 18 = edge 6 + border 12), as the AS 1743 drawings. R9-SA53-2A (450 x 450) illustrated (B 600, C 750 in the table), R50, 6 / 18. AT 45 E (183/83/184); road name three lines 50 'E>C' (Series E preferred, reduce to C where too wide, max. dimension 360). Sheet: '= offset' top/bottom and '= gap' between lines: resolved on the drawing itself — AT top 60, name lines top 150 / 245 / 340 (offset 60, gap 45; 60+45+45+50+45+50+45+50+60 = 450). Road name WEST LAKES BOULEVARD is the sheet's example ('Road Name is an example only', drawn in grey); drawn here in black as the sign would read. BOULEVARD at 50 E measures 374 on the sheet, over the stated 360 max — the sheet's own example exceeds its rule; kept in E. Only used with R2-6."
