code,name,family,file,size,notes,source
R1-V1,,Regulatory Signs,SIGN_STOP_R1-V1.svg,900x901 mm,size from the sheet's 900 x 900 figure; other codes on the page: R1-V1-1,Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=16
R1-V5,GIVE WAY TO STOCK NEXT XXX m / XX km,Regulatory Signs,GIVE_WAY_TO_STOCK_NEXT_XXX_M_XX_KM_R1-V5.svg,443x535 mm,no size found on the sheet; drawn at 1:10 — check,Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=17
R1-V5,GIVE WAY TO STOCK NEXT XXX m / XX km,Regulatory Signs,GIVE_WAY_TO_STOCK_NEXT_XXX_M_XX_KM_VAR2_R1-V5.svg,443x535 mm,no size found on the sheet; drawn at 1:10 — check,Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=17
R1-V6,GIVE WAY TO STOCK,Regulatory Signs,GIVE_WAY_TO_STOCK_720_SYMBOL_R1-V6.svg,900x901 mm,size from the drawing's overall width dimension (900 mm); drawn at 2 sizes on the sheet; largest kept,Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=18
R2-V21-1,RIGHT TURN FROM LEFT AHEAD,Regulatory Signs,RIGHT_TURN_FROM_LEFT_AHEAD_RIGHT_TURN_R2-V21-1.svg,800x1165 mm,size from the drawing's overall width dimension (800 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=19
R2-V110,GIVE WAY TO TRAMS,Regulatory Signs,GIVE_WAY_TO_TRAMS_700_SYMBOL_R2-V110.svg,800x732 mm,size from the drawing's overall width dimension (800 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=20
R2-V111,GIVE WAY TO CYCLISTS,Regulatory Signs,GIVE_WAY_TO_CYCLISTS_500_SYMBOL_R2-V111.svg,800x719 mm,size from the drawing's overall width dimension (800 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=21
R2-V112,CYCLISTS GIVE WAY TO TRAMS,Regulatory Signs,CYCLISTS_GIVE_WAY_TO_TRAMS_GIVE_WAY_R2-V112.svg,450x450 mm,size from the drawing's overall height dimension (450 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=22
R2-V113,CYCLISTS USE SIGNALISED CROSSING,Regulatory Signs,CYCLISTS_USE_SIGNALISED_CROSSING_USE_R2-V113.svg,498x540 mm,size from the drawing's overall height dimension (540 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=23
R2-V115U,,Regulatory Signs,SIGN_MUST_R2-V115U.svg,441x750 mm,size from the drawing's overall height dimension (750 mm); other codes on the page: R2-V115,Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=24
R2-V120,REVERSIBLE LANE DISCIPLINE,Regulatory Signs,REVERSIBLE_LANE_DISCIPLINE_E3_600_R2-V120.svg,1478x3000 mm,size from the drawing's overall height dimension (3000 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=25
R2-V122,KEEP LEFT WITH CHEVRON HAZARD MARKER,Regulatory Signs,,,no drawing found on the page,Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=26
R2-V123,2 LEFT LANES MUST EXIT,Regulatory Signs,2_LEFT_LANES_MUST_EXIT_LANES_R2-V123.svg,899x1440 mm,size from the drawing's overall height dimension (1440 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=27
R2-V124,GIVE WAY TO MERGING TRAM,Regulatory Signs,GIVE_WAY_TO_MERGING_TRAM_MERGING_R2-V124.svg,860x961 mm,size from the drawing's overall width dimension (860 mm),Original PDFs/TEM-Vol-2-Part-2.17-AS1743-Road-Signs-Specifications-_v2_.pdf#page=28
