code,name,source
A1,Pas de signalisation ou éventuellement signalisation avancée par panneau de type,IISR 2e partie
A13a,Endroit fréquenté par les enfants,Wikipedia
A13b,Passage(s) pour piétons,Wikipedia
A14,Danger,Wikipedia
A15,Passage d'animaux,"IISR 2e partie, article 40-1 heading"
A15a1,Passage d'animaux domestiques,Wikipedia
A15a2,Passage d'animaux domestiques,Wikipedia
A15b,Passage d'animaux sauvages,Wikipedia
A15c,Passage de cavaliers,Wikipedia
A16,Descente dangereuse,Wikipedia
A17,Feux tricolores,Wikipedia
A18,Circulation dans les deux sens,Wikipedia
A19,Risque de chutes de pierres,Wikipedia
A1a,Virage à droite,Wikipedia
A1b,Virage à gauche,Wikipedia
A1c,Succession de virages,Wikipedia
A1d,Succession de virages,Wikipedia
A20,Débouché sur un quai ou une berge,Wikipedia
A21,Débouché de cyclistes,Wikipedia
A23,Traversée d'une aire de danger aérien,Wikipedia
A24,Vent latéral,Wikipedia
A2a,Cassis ou dos d'âne,Wikipedia
A2b,Ralentisseur de type dos-d'âne,Wikipedia
A3,Chaussée rétrécie,Wikipedia
A3a,Chaussée rétrécie par la droite,Wikipedia
A3b,Chaussée rétrécie par la gauche,Wikipedia
A4,Chaussée glissante,Wikipedia
A6,Pont mobile,Wikipedia
A7,Passage à niveau muni de barrières,Wikipedia
A8,Passage à niveau sans barrière,Wikipedia
A9a,Traversée de voie de véhicules routiers des services réguliers de transport en commun,Wikipedia
A9b,Traversée de voies de tramways,Wikipedia
AB1,Priorité à droite,Wikipedia
AB2,Priorité ponctuelle,Wikipedia
AB25,Signalisation avancée d'un carrefour à sens giratoire avec priorité aux usagers circulant dans l'anneau,Wikipedia
AB3,Distances d'implantation des panneaux avancés et indications de ces,"IISR 3e partie, article 42-6 heading"
AB3a,Cédez le passage,Wikipedia
AB3b,Signal avancé cédez-le-passage,Wikipedia
AB4,Stop,Wikipedia
AB5,Signal avancé stop,Wikipedia
AB6,Route à caractère prioritaire,Wikipedia
AB7,Fin du caractère prioritaire d'une route,Wikipedia
AK14,Autres dangers,Wikipedia
AK17,Annonce de signaux lumineux,Wikipedia
AK2,"Cassis, dos d'âne",Wikipedia
AK22,Projection de gravillons,Wikipedia
AK3,Chaussée rétrécie,Wikipedia
AK30,Bouchon,Wikipedia
AK31,Accident,Wikipedia
AK32,Annonce de nappes de brouillard ou de fumées épaisses,Wikipedia
AK4,Chaussée glissante,Wikipedia
AK5,Travaux,Wikipedia
