code,name,family,file,size,source,notes
A19,Risque de chutes de pierres,A Danger,A Danger/RISQUE_DE_CHUTES_DE_PIERRES_A19.svg,950x824 mm,Panneaux_A/A19.svg,drawn 190.1x164.7 mm at 1:5; 5 stroked path(s) outlined with Inkscape; name from Wikipedia
A1a,Virage à droite,A Danger,A Danger/VIRAGE_A_DROITE_A1a.svg,950x824 mm,Panneaux_A/A1a.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A1b,Virage à gauche,A Danger,A Danger/VIRAGE_A_GAUCHE_A1b.svg,950x824 mm,Panneaux_A/A1b.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A1c,Succession de virages,A Danger,A Danger/SUCCESSION_DE_VIRAGES_A1c.svg,950x824 mm,Panneaux_A/A1c.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A1d,Succession de virages,A Danger,A Danger/SUCCESSION_DE_VIRAGES_A1d.svg,950x824 mm,Panneaux_A/A1d.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A20,Débouché sur un quai ou une berge,A Danger,A Danger/DEBOUCHE_SUR_UN_QUAI_OU_UNE_BERGE_A20.svg,950x824 mm,Panneaux_A/A20.svg,drawn 190.1x164.7 mm at 1:5; 6 stroked path(s) outlined with Inkscape; name from Wikipedia
A21,Débouché de cyclistes,A Danger,A Danger/DEBOUCHE_DE_CYCLISTES_A21.svg,950x824 mm,Panneaux_A/A21.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A23,Traversée d'une aire de danger aérien,A Danger,A Danger/TRAVERSEE_D_UNE_AIRE_DE_DANGER_AERIEN_A23.svg,950x824 mm,Panneaux_A/A23.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A24,Vent latéral,A Danger,A Danger/VENT_LATERAL_A24.svg,950x824 mm,Panneaux_A/A24.svg,drawn 190.1x164.7 mm at 1:5; 5 stroked path(s) outlined with Inkscape; name from Wikipedia
A2a,Cassis ou dos d'âne,A Danger,A Danger/CASSIS_OU_DOS_D_ANE_A2a.svg,950x824 mm,Panneaux_A/A2a.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A2b,Ralentisseur de type dos-d'âne,A Danger,A Danger/RALENTISSEUR_DE_TYPE_DOS_D_ANE_A2b.svg,950x824 mm,Panneaux_A/A2b.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
A3,Chaussée rétrécie,A Danger,A Danger/CHAUSSEE_RETRECIE_A3.svg,950x824 mm,Panneaux_A/A3.svg,drawn 190.1x164.7 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from Wikipedia
A3a,Chaussée rétrécie par la droite,A Danger,A Danger/CHAUSSEE_RETRECIE_PAR_LA_DROITE_A3a.svg,950x824 mm,Panneaux_A/A3a.svg,drawn 190.1x164.7 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from Wikipedia
A3b,Chaussée rétrécie par la gauche,A Danger,A Danger/CHAUSSEE_RETRECIE_PAR_LA_GAUCHE_A3b.svg,950x824 mm,Panneaux_A/A3b.svg,drawn 190.1x164.7 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from Wikipedia
A4,Chaussée glissante,A Danger,A Danger/CHAUSSEE_GLISSANTE_A4.svg,950x824 mm,Panneaux_A/A4.svg,drawn 190.1x164.7 mm at 1:5; 3 stroked path(s) outlined with Inkscape; name from Wikipedia
A6,Pont mobile,A Danger,A Danger/PONT_MOBILE_A6.svg,950x824 mm,Panneaux_A/A6.svg,drawn 190.1x164.7 mm at 1:5; 3 stroked path(s) outlined with Inkscape; name from Wikipedia
