code,title,section,family,vector_set,eps,jpg,svg
101,Gefahrstelle,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),Musterdateien,Musterdateien/eps/101.EPS,101.jpg,GEFAHRSTELLE_101.svg
101-10,Flugbetrieb - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-10.jpg,
101-11,Fußgängerüberweg - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-11.jpg,
101-12,Viehtrieb - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-12.jpg,
101-13,Reiter - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-13.jpg,
101-14,Amphibienwanderung - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-14.jpg,
101-15,Steinschlag - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-15.jpg,
101-20,Flugbetrieb - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-20.jpg,
101-21,Fußgängerüberweg - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-21.jpg,
101-22,Viehtrieb - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-22.jpg,
101-23,Reiter - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-23.jpg,
101-24,Amphibienwanderung - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-24.jpg,
101-25,Steinschlag - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-25.jpg,
101-51,Schnee- oder Eisglätte,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-51.jpg,
101-52,"Splitt, Schotter",Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-52.jpg,
101-53,Ufer,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-53.jpg,
101-54,Unzureichendes Lichtraumprofil,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-54.jpg,
101-55,Bewegliche Brücke,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-55.jpg,
102,Kreuzung oder Einmündung,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,102.jpg,
103,Kurve,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
103-10,Kurve - links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,103-10.jpg,
103-20,Kurve - rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,103-20.jpg,
105,Doppelkurve,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
105-10,Doppelkurve - zunächst links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,105-10.jpg,
105-20,Doppelkurve - zunächst rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,105-20.jpg,
108,Gefälle,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
108-4,Gefälle 4%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-4.jpg,
108-5,Gefälle 5%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-5.jpg,
108-6,Gefälle 6%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-6.jpg,
108-7,Gefälle 7%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-7.jpg,
108-8,Gefälle 8%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-8.jpg,
108-9,Gefälle 9%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-9.jpg,
108-10,Gefälle 10%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-10.jpg,
108-11,Gefälle 11%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-11.jpg,
108-12,Gefälle 12%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-12.jpg,
108-13,Gefälle 13%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-13.jpg,
108-14,Gefälle 14%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-14.jpg,
