code,name,family,file,size,notes
1006-32,Unfallgefahr LKW,Zusatzzeichen (supplementary plates),UNFALLGEFAHR_LKW_1006-32.svg,600x330 mm,"Vz2017: Vz2017/1006-32/1006-32.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1012-55,Schulweg,Zusatzzeichen (supplementary plates),SCHULWEG_1012-55.svg,600x330 mm,"Vz2017: Vz2017/1012-55/1012-55.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1012-56,Spielplatz,Zusatzzeichen (supplementary plates),SPIELPLATZ_1012-56.svg,600x330 mm,"Vz2017: Vz2017/1012-56/1012-56.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1012-57,Behinderteneinrichtung,Zusatzzeichen (supplementary plates),BEHINDERTENEINRICHTUNG_1012-57.svg,600x330 mm,"Vz2017: Vz2017/1012-57/1012-57.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1024-22,"Personenkraftwagen oder Krafträder mit Beiwagen, die mit mindestens drei Personen besetzt sind - mehrfachbesetzte Personenkraftwagen frei",Zusatzzeichen (supplementary plates),PERSONENKRAFTWAGEN_ODER_KRAFTRAEDER_MIT_BEIWAGEN_DIE_MIT_MINDESTENS_DR_1024-22.svg,600x450 mm,"Vz2017: Vz2017/1024-22/1024-22.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 45 cm; name from official list"
1040-37,"Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5 t, einschließlich ihrer Anhänger und Zugmaschinen, ausgenommen Personenkraftwagen und Kraftomnibusse Im angegebenen Zeitraum frei",Zusatzzeichen (supplementary plates),KRAFTFAHRZEUGE_MIT_EINER_ZULAESSIGEN_GESAMTMASSE_UEBER_3_5_T_EINSCHLIE_1040-37.svg,600x450 mm,"Vz2017: Vz2017/1040-37/1040-37.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 45 cm; name from official list"
1050-31,... Taxis,Zusatzzeichen (supplementary plates),TAXIS_1050-31.svg,600x330 mm,"Vz2017: Vz2017/1050-31/1050-31.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1053-55,"Massenangabe - 3,5 t Erweiternde Zusatzzeichen",Zusatzzeichen (supplementary plates),MASSENANGABE_3_5_T_ERWEITERNDE_ZUSATZZEICHEN_1053-55.svg,600x330 mm,"Vz2017: Vz2017/1053-55/1053-55.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
1053-56,Lkw-Parken in Fahrgassen links mit Schrägparkständen links,Zusatzzeichen (supplementary plates),LKW_PARKEN_IN_FAHRGASSEN_LINKS_MIT_SCHRAEGPARKSTAENDEN_LINKS_1053-56.svg,600x601 mm,"Vz2017: Vz2017/1053-56/1053-56.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from DVK comment; 1 stroked path(s) outlined with Inkscape"
1053-57,Lkw-Parken in Fahrgassen rechts mit Schrägparkständen rechts,Zusatzzeichen (supplementary plates),LKW_PARKEN_IN_FAHRGASSEN_RECHTS_MIT_SCHRAEGPARKSTAENDEN_RECHTS_1053-57.svg,600x601 mm,"Vz2017: Vz2017/1053-57/1053-57.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from DVK comment; 1 stroked path(s) outlined with Inkscape"
1060-34,Halteverbot auch auf dem Seitenstreifen - links,Zusatzzeichen (supplementary plates),HALTEVERBOT_AUCH_AUF_DEM_SEITENSTREIFEN_LINKS_1060-34.svg,600x330 mm,"Vz2017: Vz2017/1060-34/1060-34.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 33 cm; name from official list"
257-59,Verbot für Elektrokleinstfahrzeuge im Sinne der Elektrokleinstfahrzeuge- Verordnung (eKFV),Vorschriftzeichen (regulatory),VERBOT_FUER_ELEKTROKLEINSTFAHRZEUGE_IM_SINNE_DER_ELEKTROKLEINSTFAHRZEU_257-59.svg,600x600 mm,"Vz2017: Vz2017/257-59/257-59.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 60 x 60 cm; name from official list"
311.1,Ortstafel Rückseite - ohne Zielangabe,Richtzeichen (guide),ORTSTAFEL_RUECKSEITE_OHNE_ZIELANGABE_311.1.svg,900x600 mm,"Vz2017: Vz2017/311-1/311.1.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 90 x 60 cm; name from official list"
448,Ankündigungstafel,Richtzeichen (guide),ANKUENDIGUNGSTAFEL_448.svg,4319x2350 mm,"Vz2017: Vz2017/448/448.eps; CorelDRAW EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 431.875 x 235 cm; name from official list"
