diagram,size,alternatives,xheight,colours,text
p500basictriangle,,,,BACKGROUND --- WHITE BORDER ------ RED TABLE OF DIMENSIONS IN MILLIMETRES H GIVEN------- H_|600]|750| 900 |1200|1500] 1800 HEIGHT GIVEN(H+10) = B | 60| 75 | 90 | 120 | 150 | 180 OO O V ; GIVEN----- R,"Drawing No. Before using this drawing, confirm p 500 that it has not been superseded. same as R /\ oOo © CROWN COPYRIGHT NOTES: 1. These are the dimensions for the 600, 750, 900, 1200, 1500 and 1800mm triangles. 2. Triangular signs are identified by their height ‘H’. 3. COLOURS : Background ——— WHITE Border -----— RED TABLE OF DIMENSIONS in millimetres H Given——-—-—— H_|600]|750| 900 |1200|1500] 1800 height Given(H+10) = B | 60| 75 | 90 | 120 | 150 | 180 Oo o V ; Given————— R | 45[ 56 [| 68 | 90 | 113 | 136 sign ~ H-(3B-R) = V_| 465] 581 | 698 | 930 |1163 | 1396 sl 2V tan30°_ = S | 537[671| 805 [1074/1342| 1610 a 2(B=R) =D | 30[33 | 45 | 60 | 75 [ 90 ’ i $+2D sin60” = C [589/736 [883 [1178] 1472| 1766 a C+2R = W | 679/849 |1018|1358|1697| 2036 L I S+2Btan60° = L [745/931 [1117 [1490] 1862/2234 (—— H+R = 0 | 645[806 | 968 [1290/1613 | 1936 B wa (L/2)tan30° = M | 215[269| 323 | 430 | 538 | 646 ZL x | Area (sq. metres) |0.24/0.37]0.53 | 0.94| 1.47 | 2.12 T f S Cc W width of sign ——————+} I L P500 Title : Warning Sign Issue: Date: Drawn by : Dimensions : | Drawing No. Department for A: 206.94 SP. Transport BASIC TRIANGLE 0: 87.05] Approved by:/ as sHowN | =P 500 E: 14.11.11 R.M. "
p504x1,600,750 900 1200 1500,,"BORDER ------ RED BACKGROUND --- WHITE | SYMBOL ------ BLACK 4, SEE SHEET 2 FOR VARIANT. | 600 (750) (900) (1200) (1500) 310 [= 100 | ! 250 |","Drawing No. ae s00 © CROWN COPYRIGHT P 504.1 € NOTES : 1. Other dimensions for the triangle are shown Sheet 1 of 2 on drawing P S00. 2. All 600mm sign dimensions shall be varied I proportionally for the other triangle heights. 3. COLOURS : Border ------ RED Background ——— WHITE | Symbol —----— BLACK 4, See sheet 2 for variant. | 600 (750) (900) (1200) (1500) 310 [= 100 | ! 250 | Before using this drawing, confirm P504x1-1 that it has not been superseded. Title: i 7 Issue: Date: | Drawn by: Dimensions: Drawing No. Warning Sign y 9 Department for at ooeea| Sp. P 5041 Transport CROSSROADS AHEAD 5: 3304| sgproves by | MILLIMETRES Cc: R.M. Sheet 1 of 2 "
p505x1,600,750 900 1200 1500,,BORDER -------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK . THE SYMBOL MAY BE REVERSED. 600 (750) (900) | (1200) 50 (1500) 7 210 160 20 100 |= 100 | 55 |= I} 255 |,"Drawing No. Related Drawing © CROWN COPYRIGHT P 505.1 | P 500 € ens NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----—-— RED Background ——— WHITE Symbol —----— BLACK . The symbol may be reversed. 600 (750) (900) | (1200) 50 (1500) 7 210 160 20 100 |= 100 | 55 |= i} 255 | Before using this drawing, confirm P505x1 that it has not been superseded. Title: i i Issue: Date: | Drawn by: Dimensions: Drawing No. Warning Sign ye 9 Department for A: 20.6.94 S.P. Transport T—JUNCTION AHEAD B: 3.3.04 | Approved by:| MILLIMETRES P 50 5 . ‘ Cc: R.M. "
p506x1,600,750 900 1200 1500,,BORDER ------ RED I BACKGROUND --- WHITE SYMBOL ------ BLACK 4. THE SYMBOL MAY BE REVERSED. SEE SHEET 2 15 | FOR VARIANT. | | 600 (750) | (900) 150 (1200) (1500) ---* 310 50 110 20 I 100 =| 175 BEFORE,"Drawing No. TsO © CROWN COPYRIGHT P 506.1 € NOTES : 1. Other dimensions for the triangle are shown Sheet 1 of 2 on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border ------ RED I Background ——— WHITE Symbol —----— BLACK 4. The symbol may be reversed. See sheet 2 15 | for variant. | | 600 (750) | (900) 150 (1200) (1500) ———* 310 50 110 20 I 100 =| 175 Before using this drawing, confirm P506x1—-1 that it has not been superseded. Title: i 7 Issue: Date: | Drawn by: Dimensions: Drawing No. Warning Sign y 9 Department for at ooeea| Sp. P 5061 Transport SIDE ROAD AHEAD 5: 4304| approves by | MILLIMETRES Cc: R.M. Sheet 1 of 2 "
p507x1,600,750 900 1200 1500,,BORDER ------- RED BACKGROUND --- WHITE | SYMBOL ------ BLACK . THE SYMBOL MAY BE REVERSED. SEE SHEET 2 FOR VARIANT. | 600 (750) 100 (900) (1200) 50 (1500) R 310 50 160 RE - LE 355 60 ; 20 75 FE 100--,"Drawing No. Related Drawing © CROWN COPYRIGHT P 507.1 [| _P 500 € imensi NOTES : 1. Other dimensions for the triangle are shown Sheet 1 of 2 on drawing P 500. . All 600mm sign dimensions shall be varied I proportionally for the other triangle heights. . COLOURS : Border —----—— RED Background ——— WHITE | Symbol —----— BLACK . The symbol may be reversed. See sheet 2 for variant. | 600 (750) 100 (900) (1200) 50 (1500) r 310 50 160 re — le 355 60 ; 20 75 fe 100—-| 75 250 | Before using this drawing, confirm P507x1-1 that it has not been superseded. Title: i 7 Issue: Date: | Drawn by: Dimensions: Drawing No. Warning Sign y 9 Department for at ooeea| sp. P 5071 Transport STAGGERED JUNCTION AHEAD | 8: 43.04] Approved by:| MILLIMETRES Sheet 1 ot 2 Cc: R.M. hee ° "
p508x1,600,750 900 1200 1500,,BORDER -------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) (900) (1200) (1500) 325 40 60,"Drawing No. Related Drawing P 508.1 |__P 500 © CROWN COPYRIGHT NOTES : 1. Other dimensions for the triangle are shown on P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----—-— RED Background ——— WHITE Symbol —----— BLACK 600 (750) (900) (1200) (1500) 325 40 60 Before using this drawing, confirm P508x1 that it has not been superseded. Department for itle Warning Sign ‘seve isco mewn by Dimensions Drawing No. Transport | trarric weRGING FROM LEFT | & roproved by:] miLuMETRES | P OOS. | Cc: R.M. "
p509x1,600,750 900 1200 1500,,BORDER ------ RED BACKGROUND --- WHITE SYMBOL ------ BLACK 275 20 ~~ 35;,"Drawing No. Related Drawing P 509.1 |_P 500 600 (750) (900) (1200) (1500) » 45° © CROWN COPYRIGHT NOTES : 1. Other dimensions for the triangle are shown on P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----— RED Background ——— WHITE Symbol -----— BLACK 275 20 ~~ 35; Before using this drawing, confirm P509x1 that it has not been superseded. Department for itle Warning Sign ‘ssue oes Prewn ay Dimensions Drawing No. Ti t TRAFFIC MERGES ONTO : ~ ranspor B: Approved by:| MILLIMETRES P 509.1 MAIN CARRIAGEWAY Cc: R.M. "
p510,600,750 900 1200 1500,,BORDER ------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750 (900 (1200 (1500 SSI VS DA 170 DIA-| 270 DIA,"Drawing No. Related Drawing P 510 | P 500 ¢ © CROWN COPYRIGHT NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. . All 600mm sign dimensions shall be varied proportionally for the other triangle heights. . COLOURS : Border —-----— RED Background ——— WHITE Symbol —----— BLACK 600 (750 (900 (1200 (1500 SSI VS Da 170 dia—| 270 dia Before using this drawing, confirm P510 that it has not been superseded. Title: i i Issue: Date: | Drawn by: Dimensions: Drawing No. Warning Sign ye 9 Department for A: 21.6.94 S.P. Transport | = RounDABOUT AHEAD — | 8 19504] seprves by] muumerses} =P 510 Cc: R.M. "
p512,600,750 900 1200 1500,,BORDER RED BACKGROUND --- WHITE SYMBOL ------- BLACK 600 SE) 20 (750) (900) (1200) 139 99 (1500) 125 VARIANT --“___ 20 65 | 70 |,"Drawing No. Related Drawing (©) CROWN COPYRIGHT P 512 P 500 NOTES : Other dimensions for the triangle are shown on drawing P 500. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. —---—-—— COLOURS : Border RED Background ——— WHITE Symbol —-————— BLACK 600 se) 20 (750) (900) (1200) 139 99 (1500) 125 VARIANT ——“___ 20 65 | 70 | Before using this drawing, confirm P512 that it has not been superseded. Title Warning Sign Issue: Date: Drawn by: Dimensions: Drawing No. Department for A 21.6.94 S.P. BEND AHEAD B 11.5.04 | Approved by: MILLIMETRES P O12 ransport Cc R.M. "
p512x1,600,750 900 1200 1500,,BORDER -------- RED BACKGROUND --- WHITE SYMBOL ------ BLACK 600 (750) (900) (1200) (1500) 242 VARIANT 654 | OG | 25 . A . .,"Drawing No. Related Drawing P 512.1 P S00 © CROWN COPYRIGHT ¢ NOTES : 1. Other dimensions for the triangle are shown on drawing P 500. 2. All 600mm sign dimensions shall be varied proportionally for the other triangle heights. 3. COLOURS : Border —----—-— RED Background ——— WHITE Symbol —----— BLACK 600 (750) (900) (1200) (1500) 242 VARIANT 654 | og | 25 . A . . Before using this drawing, confirm P512x1 that it has not been superseded. Title: i i Issue: Date: | Drawn by: Dimensions: Drawing No. Warning Sign ye 9g Department for At 1604 SP Transport | junction oN BEND AHEAD | 8 1506] aopoves y+] muumerres! P5124 Cc: R.M. "
