schedule,part,item,diagram,title,url,local
02,02,00,p500basictriangle,,https://assets.publishing.service.gov.uk/media/5ef0651be90e0741f91db11a/traffic-sign-drawing-schedule-02-part-02-item-00-p500basictriangle.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-00-p500basictriangle.pdf
02,02,01,p504x1,,https://assets.publishing.service.gov.uk/media/5ef06668d3bf7f6c0fce35b1/traffic-sign-drawing-schedule-02-part-02-item-01-p504x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-01-p504x1.pdf
02,02,02,p505x1,,https://assets.publishing.service.gov.uk/media/5ef0669f86650c113681108b/traffic-sign-drawing-schedule-02-part-02-item-02-p505x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-02-p505x1.pdf
02,02,03,p506x1,,https://assets.publishing.service.gov.uk/media/5ef066f286650c113681108c/traffic-sign-drawing-schedule-02-part-02-item-03-p506x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-03-p506x1.pdf
02,02,04,p507x1,,https://assets.publishing.service.gov.uk/media/5ef06754d3bf7f6c0dd8bb9a/traffic-sign-drawing-schedule-02-part-02-item-04-p507x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-04-p507x1.pdf
02,02,05,p508x1,,https://assets.publishing.service.gov.uk/media/5ef0687186650c114133a36d/traffic-sign-drawing-schedule-02-part-02-item-05-p508x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-05-p508x1.pdf
02,02,06,p509x1,,https://assets.publishing.service.gov.uk/media/5ef068c8d3bf7f6c0fce35b3/traffic-sign-drawing-schedule-02-part-02-item-06-p509x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-06-p509x1.pdf
02,02,07,p510,,https://assets.publishing.service.gov.uk/media/5ef06974d3bf7f6c06ec392c/traffic-sign-drawing-schedule-02-part-02-item-07-p510.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-07-p510.pdf
02,02,08,p512,,https://assets.publishing.service.gov.uk/media/5ef06a4b86650c113b90e491/traffic-sign-drawing-schedule-02-part-02-item-08-p512.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-08-p512.pdf
02,02,09,p512x1,,https://assets.publishing.service.gov.uk/media/5a80d0baed915d74e62309a0/traffic-sign-drawing-schedule-02-part-02-item-09-p512x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-09-p512x1.pdf
02,02,10,p512x2,,https://assets.publishing.service.gov.uk/media/5a748a4740f0b61938c7e45d/traffic-sign-drawing-schedule-02-part-02-item-10-p512x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-10-p512x2.pdf
02,02,11,p512x3,,https://assets.publishing.service.gov.uk/media/5a7f3b48ed915d74e622930b/traffic-sign-drawing-schedule-02-part-02-item-11-p512x3.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-11-p512x3.pdf
02,02,12,p513,,https://assets.publishing.service.gov.uk/media/5ef06af6d3bf7f6c0806a34c/traffic-sign-drawing-schedule-02-part-02-item-12-p513.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-12-p513.pdf
02,02,13,p516,,https://assets.publishing.service.gov.uk/media/5ef06be486650c113e7a4c6d/traffic-sign-drawing-schedule-02-part-02-item-13-p516.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-13-p516.pdf
02,02,14,p517,,https://assets.publishing.service.gov.uk/media/5ef06c8de90e0741f836c541/traffic-sign-drawing-schedule-02-part-02-item-14-p517.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-14-p517.pdf
02,02,15,p520,,https://assets.publishing.service.gov.uk/media/5ef06deee90e0741fa96c82e/traffic-sign-drawing-schedule-02-part-02-item-15-p520.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-15-p520.pdf
