code,name,family,file,size,diagram,notes
513.1,Adverse camber on a bend or roundabout,Warning Signs,ADVERSE_CAMBER_ON_A_BEND_OR_ROUNDABOUT_513.1.svg,1768x1048 mm,513.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
512L,Bend ahead to the left,Warning Signs,BEND_AHEAD_TO_THE_LEFT_512L.svg,600x527 mm,512.0,600 mm (working drawing p512; alternatives 750/900/1200/1500)
512,Bend ahead to the right,Warning Signs,BEND_AHEAD_TO_THE_RIGHT_512.svg,600x527 mm,512.0,600 mm (working drawing p512; alternatives 750/900/1200/1500); also in DfT category Speed limit signs
504.1,Crossroads ahead,Warning Signs,CROSSROADS_AHEAD_504.1.svg,600x527 mm,504.1,600 mm (working drawing p504x1; alternatives 750/900/1200/1500)
504.1R,Crossroads ahead,Warning Signs,CROSSROADS_AHEAD_504.1R.svg,600x527 mm,504.1,600 mm (working drawing p504x1; alternatives 750/900/1200/1500)
504.1L,Crossroads ahead,Warning Signs,CROSSROADS_AHEAD_504.1L.svg,600x527 mm,504.1,600 mm (working drawing p504x1; alternatives 750/900/1200/1500)
513,"Double bend or series of bends ahead, first to the left",Warning Signs,DOUBLE_BEND_OR_SERIES_OF_BENDS_AHEAD_FIRST_TO_THE_LEFT_513.svg,600x527 mm,513.0,600 mm (working drawing p513; alternatives 750/900/1200/1500)
513R,"Double bend or series of bends ahead, first to the right",Warning Signs,DOUBLE_BEND_OR_SERIES_OF_BENDS_AHEAD_FIRST_TO_THE_RIGHT_513R.svg,600x527 mm,513.0,600 mm (working drawing p513; alternatives 750/900/1200/1500)
501,Junction ahead controlled by a STOP or GIVE WAY sign,Warning Signs,JUNCTION_AHEAD_CONTROLLED_BY_A_STOP_OR_GIVE_WAY_SIGN_501.svg,600x527 mm,501.0,600 mm (working drawing p501; alternatives 750/900/1200)
503,50 yards to junction ahead controlled by a GIVE WAY sign,Warning Signs,50_YARDS_TO_JUNCTION_AHEAD_CONTROLLED_BY_A_GIVE_WAY_SIGN_503.svg,2228x1146 mm,503.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
