code,name,family,file,size,notes,source
G1-4,G1-4(CA),Guide Signs,REDLANDS_2_STOCKTON_5_G1-4.svg,1143x457 mm,"size from the sheet's SIGN SIZE table (Var x 18 in; other table sizes: Var x 30, Var x 42); colours from the sheet's COLORS note: background GREEN, legend WHITE; MUTCD number D1-2A",Original PDFs/g/f0018776-g1-4-a11y.pdf
G1-10,G1-10(CA),Guide Signs,NS_AN_UP_A_RROW_FOLL_D_BY_A_TEXT_SALINAS_50_AND_ROSEVILLE_5__G1-10.svg,1476x762 mm,"size from the sheet's SIGN SIZE table (Var x 30 in; other table sizes: Var x 48, Var x 60); colours from the sheet's COLORS note: background GREEN, legend WHITE; MUTCD number Non",Original PDFs/g/g1-10-a11y.pdf
G1-13,G1-13(CA),Guide Signs,REDLANDS_2_STOCKTON_5_ORANGE_13_G1-13.svg,1191x762 mm,"size from the sheet's SIGN SIZE table (Var x 30 in; other table sizes: Var x 48, Var x 60); colours from the sheet's COLORS note: background GREEN, legend WHITE",Original PDFs/g/g1-13-a11y.pdf
G1-16,G1-16(CA),Guide Signs,NS_AN_UP_A_RROW_FOL_WED_BY_G1-16.svg,1543x914 mm,"size from the sheet's SIGN SIZE table (Var x 36 in; other table sizes: Var x 48, Var x 72); colours from the sheet's COLORS note: background GREEN, legend WHITE; MUTCD number Non",Original PDFs/g/g1-16-a11y.pdf
G1-19,G1-19(CA),Guide Signs,INS_THE_TE_XT_MA_POSA_20_FRESNO_25_AND_STOCKTON_35_FOLLOWED__G1-19.svg,1470x762 mm,"size from the sheet's SIGN SIZE table (Var x 30 in; other table sizes: Var x 42, Var x 54); colours from the sheet's COLORS note: background GREEN, legend WHITE; MUTCD number Non",Original PDFs/g/g1-19-a11y.pdf
G5,G5(CA),Guide Signs,ROSEVILLE_5_SACRAMENTO_23_OAKLAND_110_G5.svg,1470x762 mm,"size from the sheet's SIGN SIZE table (Var x 30 in; other table sizes: Var x 42, Var x 54, Var x 66, Var x 84); colours from the sheet's COLORS note: background GREEN, legend WHITE; MUTCD number D2-3 D2",Original PDFs/g/f0018831-g5-a11y.pdf
G8-4,G8-4(CA),Guide Signs,AINS_THE_TEXT_CHICO_OROVILLE_FOLLOWED_BY_A_RIGHT_ARROW_THE_D_G8-4.svg,960x457 mm,"size from the sheet's SIGN SIZE table (Var x 18 in; other table sizes: Var x 30, Var x 42); colours from the sheet's COLORS note: background GREEN, legend WHITE; MUTCD number D1-2",Original PDFs/g/g8-4-a11y.pdf
G8-10,G8-10(CA),Guide Signs,AINING_AN_UP_ARROW_FOLLOWED_BY_A_TEXT_SALINAS_AT_THE_TOP_POR_G8-10.svg,1238x762 mm,"size from the sheet's SIGN SIZE table (Var x 30 in; other table sizes: Var x 48, Var x 60); colours from the sheet's COLORS note: background GREEN, legend WHITE",Original PDFs/g/g8-10-a11y.pdf
G8-13,G8-13(CA),Guide Signs,REDLANDS_STOCKTON_ORANGE_G8-13.svg,1048x762 mm,"size from the sheet's SIGN SIZE table (Var x 30 in; other table sizes: Var x 48, Var x 60); colours from the sheet's COLORS note: background GREEN, legend WHITE",Original PDFs/g/f0018888-g8-13-a11y.pdf
G8-19,G8-19(CA),Guide Signs,MARIPOSA_FRESNO_STOCKTON_G8-19.svg,1197x762 mm,"size from the sheet's SIGN SIZE table (Var x 30 in; other table sizes: Var x 42, Var x 54); colours from the sheet's COLORS note: background GREEN, legend WHITE",Original PDFs/g/g8-19-a11y.pdf
G8-22,G8-22(CA),Guide Signs,FAIRVIEW_ROAD_G8-22.svg,784x457 mm,"size from the sheet's SIGN SIZE table (Var x 18 in; other table sizes: Var x 30, Var x 42); colours from the sheet's COLORS note: background GREEN, legend WHITE",Original PDFs/g/f0018899-g8-22-a11y.pdf
G9-1,G9-1(CA),Guide Signs,0_000_000_0_000_000_000_00_000_000_00_0_G9-1.svg,591x345 mm,no SIGN SIZE table read; drawn at 1:10 — check; sheet drawn in colour; colours kept as drawn,Original PDFs/g/g9-1-a11y.pdf
G9-1,G9-1(CA),Guide Signs,0_000_000_0_000_000_000_00_000_000_00_0_VAR2_G9-1.svg,281x226 mm,no SIGN SIZE table read; drawn at 1:10 — check; sheet drawn in colour; colours kept as drawn,Original PDFs/g/g9-1-a11y.pdf
G9-2,G9-2(CA),Guide Signs,SODA_SPRINGS_POP_487_ELEV_2_386_G9-2.svg,1372x457 mm,"size from the sheet's SIGN SIZE table (Var x 18 in; other table sizes: Var x 24, Var x 30, Var x 36); colours from the sheet's COLORS note: background GREEN, legend WHITE",Original PDFs/g/g9-2-a11y.pdf
G9-5,G9-5(CA),Guide Signs,CLOVERDALE_CITY_LIMIT_POP_874_ELEV_40_G9-5.svg,1219x610 mm,"size from the sheet's SIGN SIZE table (Var x 24 in; other table sizes: Var x 30, Var x 42, Var x 48); colours from the sheet's COLORS note: background GREEN, legend WHITE",Original PDFs/g/g9-5-a11y.pdf
G10-4P,G10-4P(CA),Guide Signs,N_WITH_TH_E_TEXT_WHERE_G10-4P.svg,1143x171 mm,no SIGN SIZE table read; drawn at 1:10 — check; sheet drawn in colour; colours kept as drawn,Original PDFs/g/g10-4-a11y.pdf
G10B(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018754-g10b-a11y.pdf
G11-1(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018757-g11-1-a11y.pdf
G11-2(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018759-g11-2-a11y.pdf
G11-4.1(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018761-g11-4-1-a11y.pdf
G11-4A(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018762-g11-4a-a11y.pdf
G11-4B(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018763-g11-4b-a11y.pdf
G11-5(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018764-g11-5-a11y.pdf
G11-6(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018765-g11-6-a11y.pdf
G11-7(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018767-g11-7-a11y.pdf
G11-8(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018768-g11-8-a11y.pdf
G11-9(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018769-g11-9-slightly-moves-a11y.pdf
G11-10(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/f0018758-g11-10-a11y.pdf
G12-1,G12-1(CA),Guide Signs,GN_W_ITH_TH_E_TEXT_G12-1.svg,1147x182 mm,no SIGN SIZE table read; drawn at 1:10 — check; sheet drawn in colour; colours kept as drawn,Original PDFs/g/g12-1-a11y.pdf
G12-3,G12-3(CA),Guide Signs,JOE_SMITH_MEMORIAL_BIKEWAY_G12-3.svg,1016x506 mm,no SIGN SIZE table read; drawn at 1:10 — check; sheet drawn in colour; colours kept as drawn,Original PDFs/g/g12-30-ca-a11y.pdf
G16(CA),,Guide Signs,,,scanned sheet (raster image); not drawn — needs a vector copy or tracing,Original PDFs/g/g16-ca-a11y.pdf
