state,adoption (to confirm on FHWA's MUTCD adoption page),pack,status,ticket
Alabama,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Alaska,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Arizona,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Arkansas,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
California,State MUTCD (CA MUTCD) + Caltrans sign specs,USA/California,planned (major state),
Colorado,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Connecticut,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Delaware,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
District of Columbia,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Florida,Supplement + FDOT signs,USA/Florida,planned (major state),
Georgia,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Hawaii,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Idaho,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Illinois,Supplement + IDOT sign details,USA/Illinois,planned (major state),
Indiana,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Iowa,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Kansas,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Kentucky,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Louisiana,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Maine,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Maryland,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Massachusetts,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Michigan,State MUTCD (MMUTCD) + MI SHS,USA/Michigan,planned (major state),
Minnesota,State MUTCD + MnDOT standard signs,USA/Minnesota,planned (major state),
Mississippi,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Missouri,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Montana,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Nebraska,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Nevada,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
New Hampshire,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
New Jersey,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
New Mexico,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
New York,Supplement + NYS signs,USA/New York,planned (major state),
North Carolina,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
North Dakota,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Ohio,State MUTCD (OMUTCD) + SDMM,USA/Ohio,planned (major state),
Oklahoma,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Oregon,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Pennsylvania,Supplement + PennDOT Pub 236,USA/Pennsylvania,planned (major state),
Rhode Island,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
South Carolina,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
South Dakota,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Tennessee,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Texas,State MUTCD (TMUTCD) + SHSD,USA/Texas,planned (major state),
Utah,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Vermont,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Virginia,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Washington,Supplement + WSDOT Sign Fabrication Manual,USA/Washington,planned (major state),
West Virginia,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Wisconsin,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
Wyoming,unconfirmed,USA/Federal (MUTCD 2023) applies unless state sheets exist,todo,
