code,name,family,file,size,notes,source
R1-1,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/STOP_R1-1.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=3
R1-2,YIELD,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/YIELD_R1-2.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=4
R1-2,YIELD,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/YIELD_R1-2.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=4
R1-2aP,TO ONCOMING TRAFFIC,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/TO_ONCOMING_TRAFFIC_PLAQUE_R1-2aP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=5
R1-2bTP,TO RAMP,Regulatory Signs,TO_RAMP_R1-2bTP.svg,21.0x15.0 in,"size 21 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check",Original PDFs/shsd-2012-section1.pdf#page=6
R1-3P,ALL WAY,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ALL_WAY_PLAQUE_R1-3P.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=7
R1-5L,YIELD SYMBOL,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/YIELD_HERE_TO_PEDESTRIANS_R1-5L.svg (was: scale from the drawing's overall width dimension (36.0 in)),Original PDFs/shsd-2012-section1.pdf#page=8
R1-5R,YIELD SYMBOL,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/YIELD_HERE_TO_PEDESTRIANS_R1-5R.svg (was: scaled from the dimensioned R1-5L drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=8
R1-5aL,YIELD SYMBOL,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/YIELD_HERE_TO_SCHOOL_CROSSING_R1-5aL.svg (was: scale from the drawing's overall width dimension (36.0 in)),Original PDFs/shsd-2012-section1.pdf#page=9
R1-5aR,YIELD SYMBOL,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/YIELD_HERE_TO_SCHOOL_CROSSING_R1-5aR.svg (was: scaled from the dimensioned R1-5aL drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=9
R1-6,YIELD,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/IN_STREET_PEDESTRIAN_CROSSING_YIELD_R1-6.svg (was: scale from the drawing's overall width dimension (12.0 in)),Original PDFs/shsd-2012-section1.pdf#page=10
R1-10P,OPTIONAL-FLUORESCENT YELLOW GREEN,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/EXCEPT_RIGHT_TURN_PLAQUE_R1-10P.svg (was: scale from the drawing's overall width dimension (24.0 in)),Original PDFs/shsd-2012-section1.pdf#page=11
R1-9,OVERHEAD PEDESTRIAN CROSSING (YIELD),Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/OVERHEAD_PEDESTRIAN_CROSSING_YIELD_R1-9.svg (was: scale from the drawing's overall width dimension (90.0 in)),Original PDFs/shsd-2012-section1.pdf#page=11
R1-9,OVERHEAD PEDESTRIAN CROSSING (YIELD),Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/OVERHEAD_PEDESTRIAN_CROSSING_YIELD_R1-9.svg (was: scaled from the dimensioned R1-9 drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=11
R1-9,OVERHEAD PEDESTRIAN CROSSING (YIELD),Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/OVERHEAD_PEDESTRIAN_CROSSING_YIELD_R1-9.svg (was: scaled from the dimensioned R1-9 drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=11
R2-1,SPEED LIMIT,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/SPEED_LIMIT_R2-1.svg (was: size 24 in: conventional-road row for R2-1 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=12
R2-1T,TEXAS,Regulatory Signs,TEXAS_R2-1T.svg,30.0x36.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check",Original PDFs/shsd-2012-section1.pdf#page=13
R2-4P,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MINIMUM_SPEED_LIMIT_PLAQUE_R2-4P.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=14
R2-4a,COMBINED SPEED LIMIT,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/COMBINED_MAXIMUM_AND_MINIMUM_SPEED_LIMITS_R2-4a.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=15
R2-4cT,MAX LEGAL SPEED,Regulatory Signs,MAX_LEGAL_SPEED_R2-4cT.svg,24.0x11.2 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check",Original PDFs/shsd-2012-section1.pdf#page=16
R2-5P,UNLESS OTHERWISE POSTED,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/UNLESS_OTHERWISE_POSTED_PLAQUE_R2-5P.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=16
R2-5aP,CITYWIDE,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/CITYWIDE_PLAQUE_R2-5aP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=17
R2-5bP,NEIGHBORHOOD,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/NEIGHBORHOOD_PLAQUE_R2-5bP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=17
R2-5cP,,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/RESIDENTIAL_PLAQUE_R2-5cP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=18
R3-1,No Right Turn (Symbol),Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MOVEMENT_PROHIBITION_NO_RIGHT_TURN_R3-1.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=19
R3-1a,NO RIGHT TURN ACROSS TRACKS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/NO_RIGHT_TURN_ACROSS_TRACKS_ACTIVATED_BLANK_OUT_R3-1a.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=20
R3-2,for arrow design,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MOVEMENT_PROHIBITION_NO_LEFT_TURN_R3-2.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=21
R3-2a,NO LEFT TURN ACROSS TRACKS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/NO_LEFT_TURN_ACROSS_TRACKS_ACTIVATED_BLANK_OUT_R3-2a.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=22
R3-3,NO TURNS,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MOVEMENT_PROHIBITION_NO_TURNS_R3-3.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=23
R3-4,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MOVEMENT_PROHIBITION_NO_U_TURN_R3-4.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=24
R3-5R,TEXAS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/MANDATORY_MOVEMENT_LANE_CONTROL_TURN_ONLY_R3-5R.svg (was: size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=25
R3-5L,TEXAS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/MANDATORY_MOVEMENT_LANE_CONTROL_TURN_ONLY_R3-5L.svg (was: size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=25
R3-5a,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MANDATORY_MOVEMENT_LANE_CONTROL_THROUGH_ONLY_R3-5a.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=26
R3-5bP,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/LEFT_LANE_PLAQUE_R3-5bP.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=27
R3-5cP,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/HOV_2_PLAQUE_R3-5cP.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=27
R3-5hTP,TEXAS,Regulatory Signs,TEXAS_R3-5hTP.svg,24.0x6.3 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check",Original PDFs/shsd-2012-section1.pdf#page=28
R3-6L,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/OPTIONAL_MOVEMENT_LANE_CONTROL_THRU_AND_TURN_R3-6L.svg (was: scale from the drawing's overall width dimension (30.0 in)),Original PDFs/shsd-2012-section1.pdf#page=29
R3-6R,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/OPTIONAL_MOVEMENT_LANE_CONTROL_THRU_AND_TURN_R3-6R.svg (was: scaled from the dimensioned R3-6L drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=29
R3-7R,TEXAS,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/RIGHT_LANE_MUST_TURN_RIGHT_R3-7R.svg (was: size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check),Original PDFs/shsd-2012-section1.pdf#page=30
R3-7L,TEXAS,intervene/Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/LEFT_LANE_MUST_TURN_LEFT_R3-7L.svg (was: R3-7L is not drawn on the sheet and R3-7R carries an outlined legend that cannot be mirrored automatically),Original PDFs/shsd-2012-section1.pdf#page=30
R3-8L,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_INTERSECTION_LANE_CONTROL_2_LANES_R3-8L.svg (was: size 30 in: conventional-road row for R3-8 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=31
R3-8R,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_INTERSECTION_LANE_CONTROL_2_LANES_R3-8R.svg (was: size 30 in: conventional-road row for R3-8 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=31
R3-8a,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_INTERSECTION_LANE_CONTROL_R3-8a.svg (was: size 48 in: conventional-road row for R3-8a in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=32
R3-8b,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_INTERSECTION_LANE_CONTROL_3_LANES_R3-8b.svg (was: size 48 in: conventional-road row for R3-8b in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=33
R3-8cT,TEXAS,Regulatory Signs,TEXAS_R3-8cT.svg,30.0x30.0 in,scale from the drawing's overall width dimension (30.0 in),Original PDFs/shsd-2012-section1.pdf#page=34
R3-8uT,,Regulatory Signs,SIGN_R3-8uT.svg,24.0x28.8 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check",Original PDFs/shsd-2012-section1.pdf#page=40
R3-9a,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/TWO_WAY_LEFT_TURN_ONLY_OVERHEAD_R3-9a.svg (was: scale from the drawing's overall width dimension (30.0 in)),Original PDFs/shsd-2012-section1.pdf#page=41
R3-9b,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/TWO_WAY_LEFT_TURN_ONLY_POST_MOUNTED_R3-9b.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=42
R3-9dP,TEXAS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/END_PLAQUE_R3-9dP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=43
R3-9cP,BEGIN,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/BEGIN_PLAQUE_R3-9cP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=43
R3-9e,EXCLUSION,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/REVERSIBLE_LANE_CONTROL_OVERHEAD_R3-9e.svg (was: scale from the drawing's overall width dimension (17.333 in)),Original PDFs/shsd-2012-section1.pdf#page=44
R3-9f,Reversible Lane Control (post-mounted),Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/REVERSIBLE_LANE_CONTROL_POST_MOUNTED_R3-9f.svg (was: size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=45
R3-9g,END REVERSE LANE XXX FEET,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_REVERSIBLE_LANE_CONTROL_TRANSITION_2_R3-9g.svg (was: scale from the drawing's overall width dimension (108.0 in)),Original PDFs/shsd-2012-section1.pdf#page=46
R3-9g,END REVERSE LANE XXX FEET,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_REVERSIBLE_LANE_CONTROL_TRANSITION_2_R3-9g.svg (was: scaled from the dimensioned R3-9g drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=46
R3-9i,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/END_REVERSE_LANE_R3-9i.svg (was: scale from the drawing's overall width dimension (18.5 in)),Original PDFs/shsd-2012-section1.pdf#page=47
R3-9h,BEGIN REVERSE LANE XXX FEET,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_REVERSIBLE_LANE_CONTROL_TRANSITION_R3-9h.svg (was: scale from the drawing's overall width dimension (108.0 in)),Original PDFs/shsd-2012-section1.pdf#page=47
R3-9h,BEGIN REVERSE LANE XXX FEET,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ADVANCE_REVERSIBLE_LANE_CONTROL_TRANSITION_R3-9h.svg (was: scaled from the dimensioned R3-9h drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=47
R3-17,BIKE LANE (with Symbol),Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/BIKE_LANE_R3-17.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=48
R3-17bP,,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/ENDS_PLAQUE_R3-17bP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=49
R3-17aP,AHEAD (Plaque),Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/AHEAD_PLAQUE_R3-17aP.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=49
R3-18,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MOVEMENT_PROHIBITION_NO_U_OR_LEFT_TURN_R3-18.svg (was: size 24 in: conventional-road row for R3-18 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=50
R3-20L,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/BEGIN_LEFT_TURN_LANE_R3-20L.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=51
R3-20R,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/BEGIN_RIGHT_TURN_LANE_R3-20R.svg (was: mirrored from R3-20L (not drawn separately on the sheet)),Original PDFs/shsd-2012-section1.pdf#page=51
