sheet,page,code,issue_type,detail
Regulatory_Signs_001,10,R1-6,LETTERING,"YIELD legend missing inside the yield triangle (page shows red YIELD in the white centre)"
Regulatory_Signs_001,11,R1-6a,LETTERING,"STOP legend missing inside the octagon (page shows white STOP); affects both p11 pairs"
Regulatory_Signs_001,11,R1-6a,CODE/NAME,"page 11 extracted twice with identical code/name R1-6a; second panel is probably a different variant (R1-6b) or a duplicate"
Regulatory_Signs_002,12,R2-1,LETTERING,"extracted SVG is the METRIC variant (80 in circle + km/h) but page 12 drawing is SPEED LIMIT 50 (English); same code used for p12 and p13 so wrong file matched"
Regulatory_Signs_002,15,R2-2,LETTERING,"extracted SVG is the English variant (TRUCKS 40) but page 15 drawing is TRUCKS 60 km/h in circle (metric); same code as p14"
Regulatory_Signs_002,17,R2-3,LETTERING,"extracted SVG is the English variant (NIGHT 45) but page 17 drawing is NIGHT 70 km/h in circle (metric); same code as p16"
Regulatory_Signs_002,19,R2-4,LETTERING,"extracted SVG is the English variant (MINIMUM SPEED 40) but page 19 drawing is MINIMUM SPEED 60 km/h in circle (metric); same code as p18"
Regulatory_Signs_002,23,R3-1,COLOUR,"prohibition circle and slash rendered black; page shows red"
Regulatory_Signs_003,25,R3-2,COLOUR,"prohibition circle and slash rendered black; page shows red"
Regulatory_Signs_003,29,R3-5R6D,CODE/NAME,"code garbled (R3-5R with trailing footnote/dimension text '6D'); name empty"
Regulatory_Signs_003,29,R3-6L,CODE/NAME,"pair shows the same single curved-arrow ONLY drawing as R3-5L; R3-6 (optional movement) should be the combined straight+turn arrow - wrong panel picked for this code"
Regulatory_Signs_003,29,R3-6R,CODE/NAME,"pair shows the same single curved-arrow ONLY drawing as R3-5R; R3-6 (optional movement) should be the combined straight+turn arrow - wrong panel picked for this code"
Regulatory_Signs_003,31,R3-5b.625,CODE/NAME,"code has dimension '.625' appended and name is empty (LEFT LANE plaque)"
Regulatory_Signs_003,31,R3-5d.625,CODE/NAME,"code has dimension '.625' appended and name is empty (LEFT LANE plaque); drawing identical to R3-5b"
Regulatory_Signs_003,31,R3-5f.625,CODE/NAME,"code has dimension '.625' appended and name is empty (RIGHT LANE plaque)"
Regulatory_Signs_004,31,R3-5c.5.75,CODE/NAME,"code has dimension '.5.75' appended and name is empty (LEFT LANE plaque)"
Regulatory_Signs_004,31,R3-5g.625,CODE/NAME,"code has dimension '.625' appended and name is empty (BUS LANE plaque)"
Regulatory_Signs_004,31,R3-5e.625,CODE/NAME,"code has dimension '.625' appended and name is empty (CENTER LANE plaque)"
Regulatory_Signs_004,39,R3-9d,ELEMENT MISSING,"white sign background missing - grey shows through inside all three panels (page shows white panels with black border)"
Regulatory_Signs_006,61,R3-17a,CODE/NAME,"pair shows the R3-17 BIKE LANE sign drawing; R3-17a should be the AHEAD plaque - wrong panel picked for this code"
Regulatory_Signs_006,61,R3-17b,CODE/NAME,"pair shows the R3-17 BIKE LANE sign drawing; R3-17b should be the ENDS plaque - wrong panel picked for this code"
Regulatory_Signs_008,87,R5-10b,LETTERING,"all legend missing - extracted panel is an empty white rectangle with red/black border (page: PEDESTRIANS AND BICYCLES PROHIBITED)"
Regulatory_Signs_008,87,R5-10c,LETTERING,"all legend missing - extracted panel is an empty bordered rectangle; page crop also shows the R5-10b drawing rather than PEDESTRIANS PROHIBITED (wrong panel)"
Regulatory_Signs_008,88,R6-1R,LETTERING,"ONE WAY legend missing from the white arrow shaft (page shows black ONE WAY on the arrow)"
Regulatory_Signs_009,88,R6-1L,LETTERING,"ONE WAY legend missing from the white arrow shaft (page shows black ONE WAY on the arrow)"
Regulatory_Signs_009,92,R7-2a,CODE/NAME,"pair identical to R7-2 (NO PARKING 8:30 AM TO 5:30 PM, right arrow) including page annotations - likely wrong panel picked for R7-2a"
Regulatory_Signs_007,66,R4-4,ELEMENT EXTRA,"thin white construction/dimension line cuts diagonally through the black arrow symbol"
Regulatory_Signs_007,69,R4-7,ELEMENT EXTRA,"thin white dimension lines (N chevrons) visible inside the black island symbol and a white diagonal line cuts through the arrow shaft"
Regulatory_Signs_007,72,R4-8,ELEMENT EXTRA,"thin white dimension lines (N chevrons) visible inside the black island symbol and a white diagonal line cuts through the arrow shaft"
Regulatory_Signs_011,116,R8-10,LETTERING,"all legend missing (STOP HERE WHEN FLASHING) - only the diagonal arrow and border extracted"
Regulatory_Signs_011,117,R9-2,CODE/NAME,"pair shows the R9-1 WALK ON LEFT FACING TRAFFIC drawing, not CROSS ONLY AT CROSSWALKS - wrong panel picked for this code"
Regulatory_Signs_012,126,R9-9,CODE/NAME,"pair shows the R9-8 PEDESTRIAN CROSSWALK drawing, not SIDEWALK CLOSED - wrong panel picked for this code"
Regulatory_Signs_013,134,R10-3e,LETTERING,"all text missing (START CROSSING / DON'T START / TIME REMAINING / DON'T CROSS / TO CROSS PUSH BUTTON) - only symbols, underlines and arrow extracted"
Regulatory_Signs_013,137,R10-6a,LETTERING,"all legend missing (STOP HERE ON RED) - only the diagonal arrow and border extracted"
Regulatory_Signs_010,106,R8-3a,ELEMENT EXTRA,"thin white construction line visible through the red prohibition ring and P (upper right)"
Regulatory_Signs_014,140,R10-10R,CODE/NAME,"name is the footnote 'COLORS: LEGEND' instead of RIGHT TURN SIGNAL"
Regulatory_Signs_015,151,R10-20a,LETTERING,"extracted SVG shows SUNDAY 7-11 AM but page drawing is MON-FRI 7-9 AM 4-7 PM (3 lines); same code used for both p151 variants so wrong file matched"
Regulatory_Signs_015,159,R12-1,LETTERING,"extracted SVG is the English variant (10 TONS) but page 159 drawing is WEIGHT LIMIT 9t (metric); same code as p158"
Regulatory_Signs_015,160,R12-2,LETTERING,"extracted SVG is the metric variant (4.5t) but page 160 drawing is AXLE WEIGHT LIMIT 5 TONS; same code as p161"
Regulatory_Signs_016,163,R12-3,LETTERING,"extracted SVG is the English variant (7000 LBS) but page 163 drawing is 3200 kg (metric); same code as p162"
Regulatory_Signs_016,164,R12-5,LETTERING,"all text missing (WEIGHT LIMIT, 8T, 12T, 16T) - only the three truck symbols extracted"
Regulatory_Signs_016,165,R12-5,LETTERING,"all text missing (WEIGHT LIMIT, 7.2t, 10.8t, 14.5t) - only the three truck symbols extracted"
Regulatory_Signs_016,162,R12-4,CODE/NAME,"pair identical to R12-3 (NO TRUCKS OVER 7000 LBS EMPTY WT) including page annotations - likely wrong panel picked for R12-4"
Regulatory_Signs_016,169,R14-2,ELEMENT EXTRA,"thin white construction line visible in the green ring (upper left)"
Regulatory_Signs_016,170,R14-3,ELEMENT EXTRA,"thin white construction line visible in the red ring (upper right)"
Regulatory_Signs_016,171,R14-4,ELEMENT EXTRA,"thin white construction line visible through the green ring and truck symbol (right side)"
Regulatory_Signs_017,172,R14-5,ELEMENT EXTRA,"thin white construction line visible in the red ring (upper right)"
Regulatory_Signs_017,177,R15-6a,CODE/NAME,"pair identical to R15-5a (DO NOT PASS STOPPED TRAIN) including page annotations; name says DO NOT DRIVE ON TRACKS - wrong panel picked for this code"
Regulatory_Signs_017,180,R15-7a,CODE/NAME,"pair identical to p179 R15-7 including page annotations; R15-7a (T-intersection variant) should differ - likely wrong panel picked"
Regulatory_Signs_017,178,R15-6,ELEMENT EXTRA,"thin white construction line visible in the red ring (upper right)"
School_Signs_001,7,S4-5,ELEMENT MISSING,"nothing extracted - right side is an empty grey rectangle (page shows yellow diamond with arrow and SCHOOL SPEED LIMIT 20 panel)"
School_Signs_001,8,S4-5a,ELEMENT EXTRA,"fragment of the adjacent metric drawing ('0 km/h' / 'OL ZONE' text) rendered at bottom-left outside the diamond"
School_Signs_001,11,S5-1,LETTERING,"extracted SVG is the English variant (20 WHEN FLASHING) but page 11 drawing is the metric 30 km/h circle version; same code as p10"
Emergency_Management_Signs_001,1,EM-1,CODE/NAME,"name is footnote fragment 'RETRO' instead of HURRICANE EVACUATION ROUTE"
Emergency_Management_Signs_001,3,EM-4,CODE/NAME,"name is 'PERMIT' but drawing is MAINTAIN TOP SAFE SPEED"
Emergency_Management_Signs_001,4,EM-6b,CODE/NAME,"name is colour footnote '[box] BLACK' instead of WELFARE CENTER"
Emergency_Management_Signs_001,6,EM-7a,CODE/NAME,"name is 'HURRICANE' but drawing is EMERGENCY SHELTER 4 MI"
Emergency_Management_Signs_001,2,EM-2,CODE/NAME,"name is colour footnote '[box] BLACK' instead of AREA CLOSED"
Emergency_Management_Signs_001,3,EM-5,CODE/NAME,"name is colour footnote '[box] BLACK' instead of ROAD USE PERMIT REQUIRED FOR THRU TRAFFIC"
Emergency_Management_Signs_001,5,EM-6c,CODE/NAME,"name is 'DECONTAMINATION' but drawing is REGISTRATION CENTER"
Emergency_Management_Signs_001,6,EM-7b,CODE/NAME,"pair identical to EM-7a (EMERGENCY SHELTER 4 MI) including page annotations; name 'HURRICANE' - likely wrong panel picked"
Emergency_Management_Signs_001,2,EM-3,CODE/NAME,"name is footnote fragment 'RETRO' instead of TRAFFIC CONTROL POINT"
Emergency_Management_Signs_001,4,EM-6a,CODE/NAME,"name is 'WELFARE' but drawing is MEDICAL CENTER"
Emergency_Management_Signs_001,5,EM-6d,CODE/NAME,"pair identical to EM-6c (REGISTRATION CENTER) including page annotations; EM-6d should be DECONTAMINATION CENTER; name is '[box] BLACK'"
Emergency_Management_Signs_001,7,EM-7c,CODE/NAME,"name is 'SHELTER4MI' (garbled) for FALLOUT SHELTER 4 MI"
Emergency_Management_Signs_002,7,EM-7d,CODE/NAME,"name is footnote fragment 'REFLECTIVE)' for FALLOUT SHELTER 4 MI; pair identical to EM-7c"
Object_Markers_001,1,OM1-1,ELEMENT MISSING,"nine reflector circles absent - extracted is a plain yellow diamond (page shows 9 circular reflectors)"
Object_Markers_001,1,OM1-2,CODE/NAME,"pair identical to OM1-1 (same page crop with 9 reflectors); OM1-2 should be a distinct marker - wrong panel picked; name empty"
Object_Markers_001,1,OM1-3,CODE/NAME,"pair identical to OM1-1 (same page crop with 9 reflectors); OM1-3 should be a distinct marker - wrong panel picked; name empty"
