sheet,page,code,issue_type,detail
2012_Supplement_001,19,R1-9,COLOUR,"STATE LAW top panel is grey on the extract; page shows yellow fill"
2012_Supplement_001,19,R1-9,ELEMENT EXTRA,"white dimension-line mask strips visible under STATE LAW and beside YIELD TO PEDESTRIANS"
2012_Supplement_001,20,R1-9a,COLOUR,"STATE LAW top panel is grey on the extract; page shows yellow fill"
2012_Supplement_001,20,R1-9a,ELEMENT EXTRA,"white dimension-line mask strips visible under STATE LAW and beside STOP FOR PEDESTRIANS"
2012_Supplement_001,24,R2-5bP,CODE/NAME,"page crop and extract both read CITYWIDE (same as R2-5aP); NEIGHBORHOOD plaque not extracted - wrong region of page 24"
2012_Supplement_001,24,R2-5cP,CODE/NAME,"page crop and extract both read CITYWIDE (same as R2-5aP); RESIDENTIAL plaque not extracted - wrong region of page 24"
2012_Supplement_002,30,R3-8,ELEMENT MISSING,"page shows ONLY at bottom-left under the left-turn/roundabout arrow and a right-branching arrow in the right lane; extract is the p32 variant (ONLY bottom-right, plain straight arrow) - all four R3-8 extracts p30-p33 are identical"
2012_Supplement_002,31,R3-8,ELEMENT MISSING,"page shows a right-branching arrow off the right-lane straight arrow; extract is the p32 variant with plain straight arrow"
2012_Supplement_002,33,R3-8,ELEMENT MISSING,"page shows a right-turn arrow in the right lane (no straight arrow there); extract is the p32 variant with straight arrow"
2012_Supplement_003,47,R3-14c,LETTERING,"hyphens missing: extract reads 6AM 9AM and MON FRI; page reads 6AM-9AM and MON-FRI"
2012_Supplement_005,66,R3-28,LETTERING,"decimal points missing: extract reads $125 and $075; page reads $1.25 and $0.75"
2012_Supplement_006,76,R3-44,ELEMENT MISSING,"purple toll-agency logo panel is a blank rectangle; page shows Toll Pass lettering inside it"
2012_Supplement_006,77,R3-44a,ELEMENT MISSING,"purple toll-agency logo panel is a blank rectangle; page shows Toll Pass lettering inside it"
2012_Supplement_006,80,R3-48,ELEMENT MISSING,"black changeable-message panels merged into one irregular blob; the $ 0.50 and $ 2.00 LED-style legends are absent"
