sheet,page,code,issue_type,detail
2024_Releases_1-4_001,22,R1-1,COLOUR,"extracted sign is a solid black octagon: red background missing, STOP legend and white border missing, small orange marker squares visible on the face"
2024_Releases_1-4_001,23,R1-2,ELEMENT EXTRA,"small white marker squares visible outside the sign outline (right of and below the triangle)"
2024_Releases_1-4_001,25,R1-2bP,TRANSPARENCY,"white panel background missing - grey shows through inside the border; white marker squares visible on the face"
2024_Releases_1-4_001,26,R1-2cP,TRANSPARENCY,"white panel background missing - grey shows through inside the border; white marker squares visible on the face"
2024_Releases_1-4_001,28,R1-5L,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_001,28,R1-5R,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_001,30,R1-5dR,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_001,30,R1-5dL,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_002,32,R1-6,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_002,34,R1-6d,LETTERING,"small YIELD symbol legend reads 'Y ELD' - letter I missing"
2024_Releases_1-4_004,60,R3-1,ELEMENT EXTRA,"small red mark on the arrow shaft near the bend (dimension marker) on the extracted sign"
2024_Releases_1-4_005,68,R3-1h,LETTERING,"wrong legend: page reads '7AM-9AM / 4PM-6PM / MON-FRI' but extracted reads '6 45 AM- / 9 30 AM / MON-FRI' (appears to be the p69 legend); colons also missing"
2024_Releases_1-4_005,69,R3-1h,LETTERING,"colons missing in times: '6 45 AM' / '9 30 AM' instead of '6:45 AM' / '9:30 AM'"
2024_Releases_1-4_005,76,R3-5bP,ELEMENT EXTRA,"dimension arrowheads visible above the legend (row of small triangles)"
2024_Releases_1-4_005,78,R3-5dP,ELEMENT EXTRA,"dimension arrowheads visible above the legend (row of small triangles)"
2024_Releases_1-4_006,79,R3-5fP,ELEMENT EXTRA,"dimension arrowheads visible above the legend (row of small triangles)"
2024_Releases_1-4_006,80,R3-5gP,ELEMENT EXTRA,"dimension arrowheads visible above the legend (row of small triangles)"
2024_Releases_1-4_006,81,R3-5hP,ELEMENT EXTRA,"dimension arrowheads visible above the legend (row of small triangles)"
2024_Releases_1-4_008,104,R3-9e,LETTERING,"hyphens missing in times: '7 9 AM' and '4 6 PM' instead of '7-9 AM' and '4-6 PM'"
2024_Releases_1-4_008,106,R3-9g,ELEMENT MISSING,"nothing extracted - right side is blank; size caption empty '[]'"
2024_Releases_1-4_008,107,R3-9g,ELEMENT MISSING,"nothing extracted - right side is blank; size caption empty '[]'"
2024_Releases_1-4_008,108,R3-9h,ELEMENT MISSING,"nothing extracted - right side is blank; size caption empty '[]'"
2024_Releases_1-4_009,113,R3-11,LETTERING,"colons and hyphen missing: '6 30AM 9 30AM' instead of '6:30AM-9:30AM'"
2024_Releases_1-4_009,114,R3-11a,LETTERING,"colons and hyphen missing: '6 30AM 9 30AM' instead of '6:30AM-9:30AM'"
2024_Releases_1-4_009,117,R3-11d,LETTERING,"colons and hyphens missing: '6 30AM 9 30AM / MON FRI' instead of '6:30AM-9:30AM / MON-FRI'"
2024_Releases_1-4_009,119,R3-11f,LETTERING,"colons and hyphens missing: '6 30AM 9 30AM / MON FRI' instead of '6:30AM-9:30AM / MON-FRI'"
2024_Releases_1-4_009,120,R3-11g,LETTERING,"colons and hyphens missing: '6 30AM 9 30AM / MON FRI' instead of '6:30AM-9:30AM / MON-FRI'"
