sheet,page,code,issue_type,detail
035,444,W1-2L,TRANSPARENCY,two small white dots outside diamond on left side of extracted sign
035,444,W1-2L,ELEMENT EXTRA,stray black arrowhead (page mini-thumbnail fragment) lower-left outside sign
035,445,W1-3R,TRANSPARENCY,two small white dots outside diamond on left side
035,445,W1-3R,ELEMENT EXTRA,stray black triangle (mini-thumbnail fragment) lower-left outside sign
035,445,W1-3L,TRANSPARENCY,two small white dots outside diamond on left side
035,445,W1-3L,ELEMENT EXTRA,stray black triangle lower-left outside sign
035,446,W1-4R,TRANSPARENCY,two small white dots outside diamond on left side
035,446,W1-4R,ELEMENT EXTRA,stray black triangle lower-left outside sign
035,446,W1-4L,TRANSPARENCY,two small white dots outside diamond on left side
035,446,W1-4L,ELEMENT EXTRA,stray black triangle lower-left outside sign
035,447,W1-5R,TRANSPARENCY,two small white dots outside diamond on left side
035,447,W1-5R,ELEMENT EXTRA,stray black winding-arrow fragment (mini-thumbnail) lower-left outside sign
035,447,W1-5L,TRANSPARENCY,two small white dots outside diamond on left side
035,447,W1-5L,ELEMENT EXTRA,stray black winding-arrow fragment lower-left outside sign
035,447,W1-5L,CODE/NAME,caption name truncated to "A" (should be WINDING ROAD / HORIZONTAL ALIGNMENT)
035,448,W1-6L,CODE/NAME,W1-6L drawing and extract are identical to W1-6R (arrow points right); left variant should point left - wrong drawing selected or page lacks L variant
035,450,W1-8L,CODE/NAME,caption name truncated to "A" (should be CHEVRON ALIGNMENT)
036,451,W1-10R,TRANSPARENCY,two small white dots outside diamond on left side
036,451,W1-10R,ELEMENT EXTRA,stray black arrowhead and bar (mini-thumbnail fragment) lower-left outside sign
036,451,W1-10L,TRANSPARENCY,two small white dots outside diamond on left side
036,451,W1-10L,ELEMENT EXTRA,stray black arrowhead and bar lower-left outside sign
036,451,W1-10L,CODE/NAME,caption name truncated to "A" (should be COMBINATION HORIZONTAL ALIGNMENT)
036,452,W1-10aR,TRANSPARENCY,two small white dots outside diamond on left side
036,452,W1-10aR,ELEMENT EXTRA,stray black mini-arrow symbol lower-left outside sign
036,452,W1-10aL,TRANSPARENCY,two small white dots outside diamond on left side
036,452,W1-10aL,ELEMENT EXTRA,stray black mini-arrow symbol lower-left outside sign
036,453,W1-10bR,TRANSPARENCY,two small white dots outside diamond on left side
036,453,W1-10bR,ELEMENT EXTRA,stray black mini-arrow symbol lower-left outside sign
036,453,W1-10bL,TRANSPARENCY,two small white dots outside diamond on left side
036,453,W1-10bL,ELEMENT EXTRA,stray black mini-arrow symbol lower-left outside sign
036,454,W1-10cR,TRANSPARENCY,two small white dots outside diamond on left side
036,454,W1-10cR,ELEMENT EXTRA,stray black mini-arrow fragments lower-left outside sign
036,454,W1-10cL,TRANSPARENCY,two small white dots outside diamond on left side
036,454,W1-10cL,ELEMENT EXTRA,stray black mini-arrow fragments lower-left outside sign
036,455,W1-10dR,TRANSPARENCY,two small white dots outside diamond on left side
036,455,W1-10dR,ELEMENT EXTRA,stray black mini-arrow fragments lower-left outside sign
036,455,W1-10dL,TRANSPARENCY,two small white dots outside diamond on left side
036,455,W1-10dL,ELEMENT EXTRA,stray black mini-arrow fragments lower-left outside sign
036,456,W1-10eR,TRANSPARENCY,two small white dots outside diamond on left side
036,456,W1-10eR,ELEMENT EXTRA,stray black mini-arrow fragments lower-left outside sign
036,456,W1-10eL,TRANSPARENCY,two small white dots outside diamond on left side
036,456,W1-10eL,ELEMENT EXTRA,stray black mini-arrow fragments lower-left outside sign
037,457,W1-11R,TRANSPARENCY,two small white dots outside diamond on left side
037,457,W1-11R,ELEMENT EXTRA,stray black hairpin fragment (mini-thumbnail) lower-left outside sign
037,457,W1-11L,TRANSPARENCY,two small white dots outside diamond on left side
037,457,W1-11L,ELEMENT EXTRA,stray black hairpin fragment lower-left outside sign
037,458,W1-13L,TRANSPARENCY,two small white dots outside diamond on left side
037,458,W1-13L,ELEMENT EXTRA,stray black truck-rollover mini-thumbnail fragments lower-left outside sign
037,458,W1-13R,TRANSPARENCY,two small white dots outside diamond on left side
037,458,W1-13R,ELEMENT EXTRA,stray black truck-rollover mini-thumbnail fragments lower-left outside sign
037,459,W1-15R,TRANSPARENCY,two small white dots outside diamond on left side
037,459,W1-15R,ELEMENT EXTRA,stray black loop fragment (mini-thumbnail) lower-left outside sign
037,459,W1-15L,TRANSPARENCY,two small white dots outside diamond on left side
037,459,W1-15L,ELEMENT EXTRA,stray black loop fragment lower-left outside sign
037,460,W2-1,TRANSPARENCY,two small white dots outside diamond on left side
037,461,W2-2R,TRANSPARENCY,two small white dots outside diamond on left side
037,461,W2-2R,ELEMENT EXTRA,stray black bar (mini-thumbnail fragment) lower-left outside sign
037,461,W2-2L,TRANSPARENCY,two small white dots outside diamond on left side
037,461,W2-2L,ELEMENT EXTRA,stray black bar lower-left outside sign
037,462,W2-3R,TRANSPARENCY,small white dot(s) outside diamond on left side
037,462,W2-3L,TRANSPARENCY,small white dot(s) outside diamond on left side
037,463,W2-3aR,TRANSPARENCY,small white dot(s) outside diamond on left side
038,463,W2-3aL,TRANSPARENCY,two small white dots outside diamond on left side
038,464,W2-4,TRANSPARENCY,two small white dots outside diamond on left side
038,465,W2-5,TRANSPARENCY,two small white dots outside diamond on left side
038,466,W2-6,TRANSPARENCY,two small white dots outside diamond on left side
038,467,W2-7R,TRANSPARENCY,two small white dots outside diamond on left side
038,467,W2-7L,TRANSPARENCY,two small white dots outside diamond on left side
038,468,W2-8R,TRANSPARENCY,two small white dots outside diamond on left side
038,468,W2-8R,ELEMENT EXTRA,stray small black mark (mini-thumbnail fragment) lower-left outside sign
038,468,W2-8L,TRANSPARENCY,two small white dots outside diamond on left side
038,468,W2-8L,ELEMENT EXTRA,stray small black mark lower-left outside sign
038,469,W2-10,TRANSPARENCY,small white dots outside diamond on left side
038,470,W2-11,TRANSPARENCY,small white dot outside diamond on lower-left side
038,471,W3-1,TRANSPARENCY,white dots outside diamond on both left and right sides
038,472,W3-2,TRANSPARENCY,white dots outside diamond on both left and right sides
039,473,W3-3,TRANSPARENCY,two small white dots outside diamond on left side
039,474,W3-4,TRANSPARENCY,two small white dots outside diamond on left side
039,475,W3-5,TRANSPARENCY,white dots outside diamond on both left and right sides
039,476,W3-5a,TRANSPARENCY,two small white dots outside diamond on left side
039,477,W3-5b,TRANSPARENCY,two small white dots outside diamond on left side
039,478,W3-5c,TRANSPARENCY,two small white dots outside diamond on left side
039,479,W3-6,TRANSPARENCY,two small white dots outside diamond on left side
039,480,W3-7,TRANSPARENCY,two small white dots outside diamond on left side
039,481,W3-8,TRANSPARENCY,two small white dots outside diamond on left side
039,483,W4-1R,TRANSPARENCY,two small white dots outside diamond on left side
039,483,W4-1R,ELEMENT EXTRA,stray black merge-arrow fragment (mini-thumbnail) lower-left outside sign
039,483,W4-1L,TRANSPARENCY,two small white dots outside diamond on left side
039,483,W4-1L,ELEMENT EXTRA,stray black merge-arrow fragment lower-left outside sign
039,483,W4-1L,CODE/NAME,caption name truncated to "A" (should be MERGE)
040,484,W4-2R,TRANSPARENCY,two small white dots outside diamond on left side
040,484,W4-2L,TRANSPARENCY,two small white dots outside diamond on left side
040,485,W4-3R,TRANSPARENCY,white dots outside diamond on right side
040,485,W4-3R,ELEMENT EXTRA,two stray black triangles (mini-thumbnail fragments) lower-left outside sign
040,485,W4-3L,TRANSPARENCY,white dots outside diamond on right side
040,485,W4-3L,ELEMENT EXTRA,two stray black triangles lower-left outside sign
040,485,W4-3L,CODE/NAME,caption name truncated to "A" (should be ADDED LANE)
040,490,W4-5R,TRANSPARENCY,white dots outside diamond on right side
040,490,W4-5L,TRANSPARENCY,white dots outside diamond on right side
040,490,W4-5L,CODE/NAME,caption name truncated to "A" (should be ENTERING ROADWAY MERGE)
040,492,W4-6R,TRANSPARENCY,white dots outside diamond on left side
040,492,W4-6R,ELEMENT EXTRA,stray black mini-thumbnail fragments lower-left outside sign
041,492,W4-6L,TRANSPARENCY,white dots outside diamond on left side
041,492,W4-6L,ELEMENT EXTRA,stray black mini-thumbnail arrow fragments lower-left outside sign
041,492,W4-6L,CODE/NAME,caption name truncated to "A" (should be ENTERING ROADWAY ADDED LANE)
041,493,W4-7R,TRANSPARENCY,white dots outside diamond on left side
041,493,W4-7R,ELEMENT EXTRA,stray mini-thumbnail text "HEAVY MERGE FROM" rendered lower-left outside sign
041,493,W4-7L,LETTERING,extract reads HEAVY MERGE FROM RIGHT but code is W4-7L (FROM LEFT) - page drawing used is the R variant
041,493,W4-7L,TRANSPARENCY,white dots outside diamond on left side
041,493,W4-7L,ELEMENT EXTRA,stray mini-thumbnail text "HEAVY MERGE FROM" rendered lower-left outside sign
041,494,W4-8,TRANSPARENCY,white dots outside diamond on left side
041,495,W5-1,TRANSPARENCY,white dots outside diamond on left side
041,496,W5-2,TRANSPARENCY,white dots outside diamond on left side
041,497,W5-2a,TRANSPARENCY,white dots outside diamond on left side
