sheet,page,code,issue_type,detail
2024_Release_5_Guide_001,1,M1-1,ELEMENT EXTRA,small white marker squares outside shield at right edge and bottom-right corner
2024_Release_5_Guide_001,2,M1-1,LETTERING,page drawing legend is 240 (3-digit) but extracted shows 20
2024_Release_5_Guide_001,3,M1-1a,ELEMENT EXTRA,small white marker square outside shield at bottom-right
2024_Release_5_Guide_001,4,M1-1a,LETTERING,page drawing is WISCONSIN 243 but extracted shows NEW JERSEY 82
2024_Release_5_Guide_001,4,M1-1a,ELEMENT EXTRA,white marker squares outside shield at top-right and bottom
2024_Release_5_Guide_001,5,M1-2,LETTERING,page drawing legend is 70 but extracted shows 196
2024_Release_5_Guide_001,7,M1-3,LETTERING,page drawing legend is 70 but extracted shows 526
2024_Release_5_Guide_001,10,M1-4,LETTERING,page drawing legend is 147 but extracted shows 40
2024_Release_5_Guide_001,12,M1-4,LETTERING,page drawing legend is 147 but extracted shows 40
2024_Release_5_Guide_002,13,M1-5,ELEMENT MISSING,black square background panel behind white circle absent on extract
2024_Release_5_Guide_002,13,M1-5,LETTERING,page drawing legend is 21 but extracted shows 218
2024_Release_5_Guide_002,14,M1-5,ELEMENT MISSING,black square background panel behind white circle absent on extract
2024_Release_5_Guide_002,15,M1-5,LETTERING,page drawing legend is 21 but extracted shows 218
2024_Release_5_Guide_002,17,M1-6,ELEMENT EXTRA,white dot outside sign at top-left of extract
2024_Release_5_Guide_002,20,M1-8a,LETTERING,lowercase i letters dropped from top text (reads Un que / p ctograph / jur sd ct on)
2024_Release_5_Guide_002,22,M1-8c,LETTERING,i-dots missing in Heritage and Trail (dotless i)
2024_Release_5_Guide_003,26,M2-1P,COLOUR,page drawing is black legend/border on white but extract is white on blue
2024_Release_5_Guide_003,28,M2-2,ELEMENT MISSING,extract is completely empty (grey rectangle) - JUNCTION panel with US 40 and state 21 shields not extracted
2024_Release_5_Guide_003,29,M3-1P,COLOUR,page drawing is black NORTH on white with black border but extract is white on blue
